variant	exit	passed	rel_l2	max_abs_diff	missing	unexpected	canonical_match	physical_match	canonical_production_sha256	canonical_isa_sha256	physical_production_sha256	physical_isa_sha256	hypothesis
ground	0	True	0.0	0.0	0	0	True	True	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	known-correct control
wait0_moved_keep_wait11	3	False	nan	nan	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	88c475aeb2d1af14cead1608929b31eeabbf43dcca072d773ee854d97fcd33a1	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	3b3383c624c9667f6163182bb9479fdc5e2e2b5628fa23a9f6b00246877c432b	isolates moving wait0 while retaining original DS order and wait11
delete_wait11_full_wait0	0	True	0.0	0.0	0	0	True	True	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	isolates deleting wait11 with a conservative full wait before KSL0
reorder_full_wait0	3	False	0.007302820961042276	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	de66c6b674b2e5464edf3f4cbbe627196d7564aff7010d10f61d4c1ed67751a1	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	10dd8c4260e4bc439aa7502b50c135be1e508f20748392b221c6e597621dfde5	isolates reordered operand mapping and address dependencies with full DS completion
target_waitcnt0	3	False	0.016166781040284413	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	f6c6e70db3ec69af0eadda91e2b317bb88d92b188a88ccc3a00d5e2e4893e306	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	2af9dd0bf37da1935b0fae33c58a68ca06fbb990d72ce53d4dff3ea60728f047	target reorder and KSL0 overlap with entry DScnt threshold 0
target_waitcnt4	3	False	0.012449749144840936	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	3464ed497fb0edc697f60dc2b422c8a021b1397a1555165b118784c8ef6c66ce	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	cc829255fc90d2cae0e553ee6d9085b07951620fb8d4ee1e2f4adfb85f77b7f2	target reorder and KSL0 overlap with entry DScnt threshold 4
target_waitcnt8	3	False	0.01601189087614636	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	f2098dda818dc5ca1a7bfe8682d6fefa4fdde82cf38242ccbbb66eb809e5411f	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	fcb1483a725794838de7e14477ccfe0dfa1dc9bf8f1ed87d73541475be0d0b6b	target reorder and KSL0 overlap with entry DScnt threshold 8
target_waitcnt12	3	False	0.012504622714754552	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	47f6c116512119751b85e955057a25933e72897dea5f44b7b826fd0351216a7e	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	74801c9a2a0adb900ddc450fd90b763d19a2ca0f27a30d029d12aa79d1eacd2a	target reorder and KSL0 overlap with entry DScnt threshold 12
target_waitcnt16	3	False	0.00980325075862727	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	d6e84f330ee325db01f4e0e19eca4e7feb7b212fa292261ddc89aa0ef25f0753	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	91a5b25110abe3f3d5d6c39fb5c0f271b11f0588ccd0051e155e4203868975f4	target reorder and KSL0 overlap with entry DScnt threshold 16
modefix_only	3	False	0.013182058617802844	98.0	0	0	False	False	67fb6215c01c17ca793ab8f407a457db86d5a9600094a2a2dcc4502afe0e83a3	44460d71fa3b84c4be8d5da53f4d7f820dc6611a37727c3d6f5c7b4596d79a95	b9fce9765580df760dce43ea33afff2c70d4f1c584166f2ce840a1216278a64e	f433567a82a72ca3c59b9790c284e9f612bcf559c7eda0274074f3398fe88057	fixes the complete SIMM16 old-to-new mode chain but retains VM_VSRC(3)
