"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
14,6400,"; _ZN5aiter45f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_psE",0,0,0,0,"aiter::f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_ps"
14,6400,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",4,4,0,7416,""
14,6404,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",4,4,0,0,""
14,6412,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",4,4,0,32,""
14,6420,"s_mov_b32 s44, s2",4,4,0,32,""
14,6424,"s_mov_b32 s45, s3",4,4,0,0,""
14,6428,"s_bfe_u32 s22, ttmp8, 0x50019",4,4,0,0,""
14,6436,"s_cmp_eq_u32 s22, 0",4,4,0,0,""
14,6440,"s_cbranch_scc0 12",4,4,0,36,""
14,6492,"s_wait_kmcnt 0x0",4,36,32,0,""
14,6496,"v_lshrrev_b32_e32 v1, 10, v0",4,4,0,0,""
14,6500,"v_lshrrev_b32_e32 v2, 10, v1",4,4,0,0,""
14,6504,"v_and_b32_e32 v0, 0x3ff, v0",4,4,0,0,""
14,6512,"v_and_b32_e32 v1, 0x3ff, v1",4,4,0,0,""
14,6520,"v_and_b32_e32 v2, 0x3ff, v2",4,4,0,0,""
14,6528,"v_lshrrev_b32_e32 v3, 5, v0",4,4,0,784,""
14,6532,"v_and_b32_e32 v0, 31, v0",4,4,0,0,""
14,6536,"v_readfirstlane_b32 s22, v3",4,4,0,0,""
14,6540,"s_bfe_u32 s22, ttmp8, 0x50019",4,4,0,96,""
14,6548,"s_bfe_u32 s52, ttmp6, 0x40010",4,4,0,0,""
14,6556,"s_bfe_u32 s51, ttmp6, 0x4000c",4,4,0,0,""
14,6564,"s_bfe_u32 s50, ttmp6, 0x40004",4,4,0,0,""
14,6572,"s_bfe_u32 s49, ttmp6, 0x40000",4,4,0,0,""
14,6580,"s_add_co_i32 s52, s52, 1",4,4,0,0,""
14,6584,"s_add_co_i32 s51, s51, 1",4,4,0,0,""
14,6588,"s_and_b32 s24, ttmp7, 0xffff",4,4,0,2157,""
14,6596,"s_lshl_b32 s24, s24, s20",4,4,0,0,""
14,6600,"s_add_co_u32 s28, s24, ttmp9",4,4,0,0,""
14,6604,"s_mov_b32 s59, s19",4,4,0,0,""
14,6608,"s_mov_b32 s70, s19",4,4,0,0,""
14,6612,"s_add_co_u32 s71, s19, 0x200",4,4,0,0,""
14,6620,"s_ctz_i32_b32 s25, s51",4,4,0,0,""
14,6624,"s_add_co_i32 s25, s25, 8",4,4,0,0,""
14,6628,"s_lshl_b32 s26, 1, s25",4,5,1,0,""
14,6632,"s_sub_co_u32 s26, s26, 1",4,8,4,0,""
14,6636,"s_add_co_u32 s61, s18, s26",4,4,0,0,""
14,6640,"s_lshr_b32 s61, s61, s25",4,4,0,0,""
14,6644,"s_ctz_i32_b32 s25, s52",4,4,0,0,""
14,6648,"s_add_co_i32 s25, s25, 8",4,4,0,0,""
14,6652,"s_lshl_b32 s26, 1, s25",4,8,4,0,""
14,6656,"s_sub_co_u32 s26, s26, 1",4,8,4,0,""
14,6660,"s_add_co_u32 s29, s17, s26",4,8,4,0,""
14,6664,"s_lshr_b32 s29, s29, s25",4,8,4,0,""
14,6668,"s_mul_i32 s29, s29, s61",4,12,4,0,""
14,6672,"v_lshlrev_b32_e32 v72, 4, v0",4,4,0,0,""
14,6676,"s_mov_b32 s24, 0x4000",4,4,0,0,""
14,6684,"s_and_b32 s25, s22, 1",4,4,0,0,""
14,6688,"s_mul_i32 s24, s24, s25",4,12,4,0,""
14,6692,"v_add_nc_u32_e32 v4, s24, v72",4,4,0,0,""
14,6696,"s_mov_b32 s24, 0",4,4,0,52,""
14,6700,"v_add_nc_u32_e32 v72, s24, v4",4,4,0,0,""
14,6704,"s_mov_b32 s24, 0x8000",4,4,0,20,""
14,6712,"v_add_nc_u32_e32 v73, s24, v4",4,4,0,0,""
14,6716,"s_mov_b32 s24, 0x12000",4,4,0,20,""
14,6724,"v_add_nc_u32_e32 v74, s24, v4",4,4,0,0,""
14,6728,"s_mov_b32 s24, 0x1a000",4,4,0,20,""
14,6736,"v_add_nc_u32_e32 v75, s24, v4",4,4,0,0,""
14,6744,"v_mov_b32_e32 v72, v72",4,4,0,0,""
14,6748,"v_mov_b32_e32 v73, v73",4,4,0,0,""
14,6752,"v_mov_b32_e32 v74, v74",4,4,0,0,""
14,6756,"v_mov_b32_e32 v75, v75",4,4,0,0,""
14,6764,"v_mov_b32_e32 v72, v72",4,4,0,0,""
14,6768,"v_mov_b32_e32 v73, v73",4,4,0,0,""
14,6772,"v_mov_b32_e32 v74, v74",4,4,0,0,""
14,6776,"v_mov_b32_e32 v75, v75",4,4,0,0,""
14,6784,"v_mov_b32_e32 v72, v72",4,4,0,0,""
14,6788,"v_mov_b32_e32 v73, v73",4,4,0,0,""
14,6792,"v_mov_b32_e32 v74, v74",4,4,0,0,""
14,6796,"v_mov_b32_e32 v75, v75",4,4,0,0,""
14,6804,"v_lshlrev_b32_e32 v76, 4, v0",4,4,0,0,""
14,6808,"s_mov_b32 s24, 0x4000",4,4,0,0,""
14,6816,"s_lshr_b32 s25, s22, 1",4,4,0,0,""
14,6820,"s_mul_i32 s24, s24, s25",4,8,0,0,""
14,6824,"v_add_nc_u32_e32 v4, s24, v76",4,4,0,0,""
14,6828,"s_mov_b32 s24, 0x30000",4,4,0,28,""
14,6836,"v_add_nc_u32_e32 v76, s24, v4",4,4,0,0,""
14,6840,"s_mov_b32 s24, 0x38000",4,4,0,20,""
14,6848,"v_add_nc_u32_e32 v77, s24, v4",4,4,0,0,""
14,6852,"s_mov_b32 s24, 0x40000",4,4,0,20,""
14,6860,"v_add_nc_u32_e32 v78, s24, v4",4,4,0,0,""
14,6864,"s_mov_b32 s24, 0x48000",4,4,0,20,""
14,6872,"v_add_nc_u32_e32 v79, s24, v4",4,4,0,0,""
14,6880,"v_mov_b32_e32 v76, v76",4,4,0,0,""
14,6884,"v_mov_b32_e32 v77, v77",4,4,0,0,""
14,6888,"v_mov_b32_e32 v78, v78",4,4,0,0,""
14,6892,"v_mov_b32_e32 v79, v79",4,4,0,0,""
14,6900,"v_mov_b32_e32 v76, v76",4,4,0,0,""
14,6904,"v_mov_b32_e32 v77, v77",4,4,0,0,""
14,6908,"v_mov_b32_e32 v78, v78",4,4,0,0,""
14,6912,"v_mov_b32_e32 v79, v79",4,4,0,0,""
14,6920,"v_mov_b32_e32 v76, v76",4,4,0,0,""
14,6924,"v_mov_b32_e32 v77, v77",4,4,0,0,""
14,6928,"v_mov_b32_e32 v78, v78",4,4,0,0,""
14,6932,"v_mov_b32_e32 v79, v79",4,4,0,0,""
14,6940,"v_lshlrev_b32_e32 v80, 2, v0",4,4,0,0,""
14,6944,"s_mov_b32 s24, 0x400",4,4,0,0,""
14,6952,"s_and_b32 s25, s22, 1",4,4,0,0,""
14,6956,"s_mul_i32 s24, s24, s25",4,8,0,0,""
14,6960,"v_add_nc_u32_e32 v80, s24, v80",4,4,0,0,""
14,6964,"s_mov_b32 s24, 0x10000",4,4,0,28,""
14,6972,"v_add_nc_u32_e32 v80, s24, v80",4,4,0,0,""
14,6980,"v_mov_b32_e32 v80, v80",4,4,0,0,""
14,6988,"v_mov_b32_e32 v80, v80",4,4,0,0,""
14,6996,"v_mov_b32_e32 v80, v80",4,4,0,0,""
14,7004,"v_lshlrev_b32_e32 v81, 2, v0",4,4,0,0,""
14,7008,"s_mov_b32 s24, 0x400",4,4,0,4,""
14,7016,"s_lshr_b32 s25, s22, 1",4,4,0,0,""
14,7020,"s_mul_i32 s24, s24, s25",4,8,0,0,""
14,7024,"v_add_nc_u32_e32 v81, s24, v81",4,4,0,0,""
14,7028,"s_mov_b32 s24, 0x22000",4,4,0,28,""
14,7036,"v_add_nc_u32_e32 v81, s24, v81",4,4,0,0,""
14,7044,"v_mov_b32_e32 v81, v81",4,4,0,0,""
14,7052,"v_mov_b32_e32 v81, v81",4,4,0,0,""
14,7060,"v_mov_b32_e32 v81, v81",4,4,0,0,""
14,7068,"v_and_b32_e64 v4, v0, 15",4,4,0,0,""
14,7076,"v_mul_u32_u24_e64 v91, v4, 0x110",4,4,0,0,""
14,7088,"v_lshrrev_b32_e32 v4, 4, v0",4,4,0,0,""
14,7092,"v_mul_u32_u24_e64 v4, v4, 16",4,4,0,0,""
14,7100,"v_add_nc_u32_e32 v91, v4, v91",4,4,0,0,""
14,7104,"s_mov_b32 s24, 0x80",4,4,0,12,""
14,7116,"v_add_nc_u32_e32 v91, s24, v91",4,4,0,0,""
14,7120,"s_mov_b32 s24, 0",4,4,0,20,""
14,7128,"v_add_nc_u32_e32 v91, s24, v91",4,4,0,0,""
14,7132,"s_mov_b32 s24, 0x80",4,4,0,20,""
14,7144,"v_add_nc_u32_e32 v91, s24, v91",4,4,0,0,""
14,7152,"s_mov_b32 s60, 0",4,4,0,20,""
14,7160,"s_mov_b32 s94, 1",4,4,0,0,""
14,7164,"s_cmp_lt_u32 s28, s29",4,4,0,0,""
14,7168,"s_cbranch_scc0 10135",4,4,0,32,""
14,7172,"s_mov_b32 s24, s61",4,4,0,8,""
14,7176,"s_sub_co_u32 s25, s24, 1",4,4,0,0,""
14,7180,"s_and_b32 s26, s24, s25",4,4,0,0,""
14,7184,"s_cmp_eq_u32 s26, 0",4,4,0,0,""
14,7188,"s_cbranch_scc0 4",4,4,0,44,""
14,7192,"s_ctz_i32_b32 s26, s24",4,4,0,8,""
14,7196,"s_lshr_b32 s48, s28, s26",4,4,0,0,""
14,7200,"s_and_b32 s23, s28, s25",4,4,0,0,""
14,7204,"s_branch 32",4,4,0,0,""
14,7336,"s_mul_i32 s24, s48, s52",4,8,0,32,""
14,7340,"s_add_co_u32 s55, s24, s50",4,4,0,0,""
14,7344,"s_mul_i32 s24, s23, s51",4,8,0,0,""
14,7348,"s_add_co_u32 s54, s24, s49",4,4,0,0,""
14,7352,"s_add_co_i32 s24, s20, s21",4,4,0,0,""
14,7356,"s_lshl_b32 s24, 1, s24",4,4,0,0,""
14,7360,"s_add_co_u32 s28, s28, s24",4,4,0,0,""
14,7364,"s_cmp_lt_u32 s28, s29",4,8,4,0,""
14,7368,"s_cselect_b32 s60, 0, 1",4,4,0,4,""
14,7372,"s_cbranch_scc0 50",4,4,0,56,""
14,7376,"s_mov_b32 s24, s61",4,4,0,8,""
14,7380,"s_sub_co_u32 s25, s24, 1",4,4,0,0,""
14,7384,"s_and_b32 s26, s24, s25",4,4,0,0,""
14,7388,"s_cmp_eq_u32 s26, 0",4,4,0,0,""
14,7392,"s_cbranch_scc0 8",4,4,0,44,""
14,7396,"s_ctz_i32_b32 s26, s24",4,4,0,8,""
14,7400,"s_lshr_b32 s27, s28, s26",4,4,0,0,""
14,7404,"s_and_b32 s24, s28, s25",4,4,0,0,""
14,7408,"s_mul_i32 s25, s27, s52",4,8,0,0,""
14,7412,"s_add_co_u32 s69, s25, s50",4,4,0,0,""
14,7416,"s_mul_i32 s25, s24, s51",4,8,0,0,""
14,7420,"s_add_co_u32 s68, s25, s49",4,4,0,0,""
14,7424,"s_branch 39",4,4,0,0,""
14,7584,"s_mul_i32 s24, s55, 0x100",4,8,0,32,""
14,7592,"s_mul_i32 s24, s24, s13",4,8,0,0,""
14,7596,"s_add_co_u32 s72, s4, s24",4,4,0,0,""
14,7600,"s_add_co_ci_u32 s73, 0, s5",4,4,0,0,""
14,7604,"s_mul_i32 s24, s55, 0x100",4,8,0,0,""
14,7612,"s_mul_i32 s24, s24, s15",4,8,0,0,""
14,7616,"s_add_co_u32 s76, s8, s24",4,4,0,40,""
14,7620,"s_add_co_ci_u32 s77, 0, s9",4,4,0,0,""
14,7624,"s_mul_i32 s24, s54, 0x100",4,8,0,0,""
14,7632,"s_mul_i32 s24, s24, s14",4,8,0,0,""
14,7636,"s_add_co_u32 s74, s6, s24",4,4,0,0,""
14,7640,"s_add_co_ci_u32 s75, 0, s7",4,4,0,0,""
14,7644,"s_mul_i32 s24, s54, 0x100",4,8,0,0,""
14,7652,"s_mul_i32 s24, s24, s16",4,8,0,0,""
14,7656,"s_add_co_u32 s78, s10, s24",4,8,4,0,""
14,7660,"s_add_co_ci_u32 s79, 0, s11",4,8,4,0,""
14,7664,"s_mul_i32 s24, 0x100, s54",4,16,8,0,""
14,7672,"s_lshl_b32 s24, s24, 1",4,8,4,0,""
14,7676,"s_mul_i32 s25, 0x100, s55",4,12,4,0,""
14,7684,"s_mul_i32 s25, s25, s12",4,12,4,0,""
14,7688,"s_add_co_u32 s26, s25, s24",4,12,8,0,""
14,7692,"s_and_b32 s24, s22, 1",4,8,4,0,""
14,7696,"s_mul_i32 s24, s24, 0x80",4,12,4,0,""
14,7704,"s_mul_i32 s24, s24, s12",4,12,4,0,""
14,7708,"s_lshr_b32 s25, s22, 1",4,8,4,0,""
14,7712,"s_mul_i32 s25, s25, 0x80",4,12,4,0,""
14,7720,"s_lshl_b32 s25, s25, 1",4,12,8,0,""
