"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,6656,"; _ZN5aiter48fmha_bf16_pertokenBf16_hd128_128x256_mask_varlenE",0,0,0,0,"aiter::fmha_bf16_pertokenBf16_hd128_128x256_mask_varlen"
3,6656,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",64,429596,448,960,""
3,6660,"s_and_b32 s1, s1, 0x1ffffff",32,32,0,0,""
3,6668,"s_bfe_u32 s32, ttmp8, 0x50019",32,32,0,0,""
3,6676,"s_and_b32 s34, ttmp7, 0xffff",32,32,0,0,""
3,6684,"s_bfe_u32 s40, ttmp7, 0x100010",32,32,0,0,""
3,6692,"s_lshl_b32 s26, s40, 2",32,32,0,0,""
3,6696,"s_load_b64 s[12:13], s[12:13], s26 offset:0x0",32,32,0,288,""
3,6704,"s_load_b64 s[14:15], s[14:15], s26 offset:0x0",32,32,0,0,""
3,6712,"s_bitcmp1_b32 s19, 2",32,32,0,0,""
3,6716,"s_mov_b32 m0, 0",32,32,0,0,""
3,6720,"v_and_b32_e32 v0, 31, v0",32,32,0,0,""
3,6724,"s_mov_b32 s33, ttmp9",32,32,0,0,""
3,6728,"s_mov_b32 s96, s4",32,32,0,0,""
3,6732,"s_mov_b32 s97, s5",32,32,0,0,""
3,6736,"s_mov_b32 s36, s33",32,32,0,0,""
3,6740,"s_cbranch_scc0 2",32,32,0,256,""
3,6744,"s_mov_b32 s33, s34",32,32,0,64,""
3,6748,"s_mov_b32 s34, s36",32,32,0,0,""
3,6752,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",32,32,0,410,""
3,6760,"v_cvt_f32_u32_e32 v2, s17",32,32,0,256,""
3,6764,"s_sub_co_i32 s36, 0, s17",32,32,0,192,""
3,6768,"v_rcp_iflag_f32_e32 v2, v2",32,64,0,0,""
3,6772,"s_nop 0",32,64,32,0,""
3,6776,"v_mul_f32_e32 v2, 0x4f7ffffe, v2",32,32,0,0,""
3,6784,"v_cvt_u32_f32_e32 v2, v2",32,32,0,5220,""
3,6788,"v_mul_lo_u32 v3, s36, v2",32,128,0,0,""
3,6796,"v_mul_hi_u32 v3, v2, v3",32,128,0,0,""
3,6804,"v_add_nc_u32_e32 v2, v2, v3",32,32,0,0,""
3,6808,"v_mul_hi_u32 v2, s34, v2",32,128,0,0,""
3,6816,"v_mul_lo_u32 v3, v2, s17",32,128,0,0,""
3,6824,"v_sub_nc_u32_e32 v5, s34, v3",32,32,0,0,""
3,6828,"v_add_nc_u32_e32 v4, 1, v2",32,32,0,0,""
3,6832,"v_cmp_le_u32_e32 vcc_lo, s17, v5",32,32,0,0,""
3,6836,"v_subrev_nc_u32_e32 v3, s17, v5",32,32,0,0,""
3,6840,"s_nop 0",32,96,64,0,""
3,6844,"v_cndmask_b32_e32 v2, v2, v4, vcc_lo",32,32,0,0,""
3,6848,"v_cndmask_b32_e32 v5, v5, v3, vcc_lo",32,32,0,0,""
3,6852,"v_add_nc_u32_e32 v3, 1, v2",32,32,0,0,""
3,6856,"v_cmp_le_u32_e32 vcc_lo, s17, v5",32,32,0,0,""
3,6860,"s_nop 1",32,128,96,0,""
3,6864,"v_cndmask_b32_e32 v5, v2, v3, vcc_lo",32,32,0,0,""
3,6868,"s_nop 3",32,192,160,0,""
3,6872,"v_readfirstlane_b32 s81, v5",32,32,0,0,""
3,6876,"s_nop 3",32,192,160,0,""
3,6880,"s_mul_i32 s28, s18, 0x100",32,64,0,1092,""
3,6888,"s_mul_i32 s31, s18, 0x100",32,64,0,0,""
3,6896,"v_cvt_f32_u32_e32 v2, s17",32,32,0,0,""
3,6900,"s_sub_co_i32 s36, 0, s17",32,32,0,128,""
3,6904,"v_rcp_iflag_f32_e32 v2, v2",32,64,0,0,""
3,6908,"s_nop 0",32,64,32,0,""
3,6912,"v_mul_f32_e32 v2, 0x4f7ffffe, v2",32,32,0,0,""
3,6920,"v_cvt_u32_f32_e32 v2, v2",32,32,0,0,""
3,6924,"v_mul_lo_u32 v3, s36, v2",32,128,0,0,""
3,6932,"v_mul_hi_u32 v3, v2, v3",32,128,0,0,""
3,6940,"v_add_nc_u32_e32 v2, v2, v3",32,32,0,0,""
3,6944,"v_mul_hi_u32 v2, s18, v2",32,128,0,0,""
3,6952,"v_mul_lo_u32 v3, v2, s17",32,128,0,0,""
3,6960,"v_sub_nc_u32_e32 v5, s18, v3",32,32,0,0,""
3,6964,"v_add_nc_u32_e32 v4, 1, v2",32,32,0,0,""
3,6968,"v_cmp_le_u32_e32 vcc_lo, s17, v5",32,32,0,0,""
3,6972,"v_subrev_nc_u32_e32 v3, s17, v5",32,32,0,0,""
3,6976,"s_nop 0",32,96,64,0,""
3,6980,"v_cndmask_b32_e32 v2, v2, v4, vcc_lo",32,32,0,0,""
3,6984,"v_cndmask_b32_e32 v5, v5, v3, vcc_lo",32,32,0,0,""
3,6988,"v_add_nc_u32_e32 v3, 1, v2",32,32,0,0,""
3,6992,"v_cmp_le_u32_e32 vcc_lo, s17, v5",32,32,0,0,""
3,6996,"s_nop 1",32,128,96,0,""
3,7000,"v_cndmask_b32_e32 v5, v2, v3, vcc_lo",32,32,0,0,""
3,7004,"s_nop 3",32,192,160,0,""
3,7008,"v_readfirstlane_b32 s30, v5",32,32,0,0,""
3,7012,"s_nop 3",32,192,160,0,""
3,7016,"s_mul_i32 s29, s30, 0x100",32,64,0,1313,""
3,7024,"s_mul_i32 s30, s30, 0x100",32,64,0,0,""
3,7032,"s_wait_kmcnt 0x0",32,73,41,0,""
3,7036,"s_sub_co_i32 s24, s13, s12",32,32,0,0,""
3,7040,"s_sub_co_i32 s25, s15, s14",32,32,0,2549,""
3,7044,"s_mov_b32 s26, s12",32,32,0,0,""
3,7048,"s_mov_b32 s27, s14",32,32,0,0,""
3,7052,"s_add_co_u32 s36, s24, 0x7f",32,32,0,0,""
3,7060,"s_lshr_b32 s36, s36, 7",32,32,0,0,""
3,7064,"s_bitcmp1_b32 s19, 1",32,32,0,0,""
3,7068,"s_cbranch_scc0 2",32,32,0,288,""
3,7080,"s_cmp_ge_u32 s33, s36",32,32,0,256,""
3,7084,"s_cbranch_scc0 1",32,32,0,256,""
3,7092,"s_mov_b32 s94, 0",32,32,0,256,""
3,7096,"s_mov_b32 s5, s33",32,32,0,0,""
3,7100,"s_bitcmp1_b32 s19, 1",32,32,0,0,""
3,7108,"v_mov_b32_e32 v248, 0",32,32,0,0,""
