"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,7424,"; fmha_fwd_kernel_0",0,0,0,0,""
3,7424,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",66,243194,0,2897,""
3,7432,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 0x1001",33,33,0,264,""
3,7440,"s_clause 0x1",33,297,264,0,""
3,7444,"s_load_b64 s[24:25], s[0:1], 0x0 nv",33,33,0,0,""
3,7452,"s_load_b64 s[2:3], s[0:1], 0xa0 nv",33,33,0,0,""
3,7460,"s_wait_kmcnt 0x0",33,1191,1158,0,""
3,7464,"v_writelane_b32 v0, s2, 0",33,33,0,0,""
3,7472,"v_writelane_b32 v0, s3, 1",33,33,0,0,""
3,7480,"s_clause 0x3",33,99,66,0,""
3,7484,"s_load_b64 s[2:3], s[0:1], 0xb8 nv",33,33,0,99,""
3,7492,"s_load_b64 s[4:5], s[0:1], 0xc8 nv",33,33,0,0,""
3,7500,"s_load_b64 s[8:9], s[0:1], 0xf4 nv",33,33,0,0,""
3,7508,"s_load_b256 s[16:23], s[0:1], 0xd4 nv",33,33,0,0,""
3,7516,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",33,33,0,957,""
3,7524,"s_load_b96 s[28:30], s[0:1], 0x108 nv",33,33,0,264,""
3,7532,"s_bfe_u32 s6, ttmp6, 0x4000c",33,33,0,0,""
3,7540,"s_bfe_u32 s10, ttmp6, 0x40014",33,33,0,0,""
3,7548,"s_add_co_i32 s6, s6, 1",33,33,0,0,""
3,7552,"s_and_b32 s7, ttmp6, 15",33,33,0,0,""
3,7556,"s_mul_i32 s6, ttmp9, s6",33,66,0,0,""
3,7560,"s_lshr_b32 s11, ttmp7, 16",33,33,0,0,""
3,7564,"s_add_co_i32 s10, s10, 1",33,33,0,0,""
3,7568,"s_bfe_u32 s12, ttmp6, 0x40010",33,33,0,0,""
3,7576,"s_add_co_i32 s7, s7, s6",33,33,0,0,""
3,7580,"s_mul_i32 s6, s11, s10",33,66,0,0,""
3,7584,"s_bfe_u32 s10, ttmp6, 0x40008",33,33,0,0,""
3,7592,"s_and_b32 s13, ttmp7, 0xffff",33,66,33,0,""
3,7600,"s_add_co_i32 s12, s12, 1",33,33,0,0,""
3,7604,"s_add_co_i32 s10, s10, s6",33,33,0,0,""
3,7608,"s_mul_i32 s6, s13, s12",33,66,0,0,""
3,7612,"s_bfe_u32 s12, ttmp6, 0x40004",33,33,0,0,""
3,7620,"s_getreg_b32 s14, hwreg(HW_REG_IB_STS2, 6, 4)",33,33,0,335,""
3,7624,"s_add_co_i32 s12, s12, s6",33,33,0,0,""
3,7628,"s_cmp_eq_u32 s14, 0",33,33,0,0,""
3,7632,"s_nop 0",33,99,66,0,""
3,7636,"s_cselect_b32 s6, s13, s12",33,33,0,0,""
3,7640,"s_wait_kmcnt 0x0",33,290,257,0,""
3,7644,"s_mul_i32 s12, s29, s28",33,66,0,0,""
3,7648,"s_mul_i32 s6, s28, s6",33,66,0,0,""
3,7652,"s_cselect_b32 s7, ttmp9, s7",33,33,0,0,""
3,7656,"s_cselect_b32 s10, s11, s10",33,33,0,0,""
3,7660,"s_add_co_i32 s6, s6, s7",33,33,0,0,""
3,7664,"s_mul_i32 s7, s12, s10",33,66,0,0,""
3,7668,"s_cvt_f32_u32 s10, s28",33,99,0,0,""
3,7672,"s_mul_i32 s12, s12, s30",33,99,33,0,""
3,7676,"s_add_co_i32 s6, s6, s7",33,66,33,0,""
3,7680,"s_lshr_b32 s7, s12, 3",33,33,0,0,""
3,7684,"s_set_vgpr_msb 0x4000",0,0,0,0,""
3,7688,"v_rcp_iflag_f32_e32 v1, s10",33,66,0,0,""
3,7692,"s_and_b32 s10, s12, 7",33,33,0,198,""
3,7696,"s_cmp_gt_u32 s12, 8",33,33,0,0,""
3,7700,"s_cselect_b32 s11, -1, 0",33,33,0,0,""
3,7704,"s_cmp_eq_u32 s10, 0",33,33,0,0,""
3,7708,"s_cselect_b32 s10, -1, 0",33,33,0,0,""
3,7712,"v_nop",33,33,0,0,""
3,7716,"s_delay_alu instid0(TRANS32_DEP_1)",0,0,0,0,""
3,7720,"v_readfirstlane_b32 s12, v1",33,33,0,297,""
3,7724,"s_and_b32 s13, s6, 7",33,33,0,561,""
3,7728,"s_and_b32 s10, s11, s10",33,33,0,0,""
3,7732,"s_mul_i32 s7, s13, s7",33,66,0,0,""
3,7736,"s_lshr_b32 s13, s6, 3",33,33,0,0,""
3,7740,"s_mul_f32 s12, s12, 0x4f7ffffe",33,99,0,0,""
3,7748,"s_add_co_i32 s7, s7, s13",33,33,0,0,""
3,7752,"s_and_b32 s10, s10, exec_lo",33,33,0,0,""
3,7756,"s_cselect_b32 s6, s7, s6",33,33,0,0,""
3,7760,"s_cvt_u32_f32 s10, s12",33,99,0,0,""
3,7764,"s_sub_co_i32 s7, 0, s28",33,66,33,0,""
3,7768,"s_cvt_f32_u32 s11, s29",33,99,0,0,""
