"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
13,6400,"; gemm_a8w4_tdm_t64x256x256_w1x4_b4_e384_afp8_outbf16_silu_bias1_qout0_qrep1_v1",0,0,0,0,""
13,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",72,72,0,19091,""
13,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",72,72,0,576,""
13,6416,"s_clause 0x1",72,648,576,0,""
13,6420,"s_load_b96 s[72:74], s[0:1], 0xa4 nv",72,72,0,0,""
13,6428,"s_load_b128 s[52:55], s[0:1], 0x70 nv",72,72,0,0,""
13,6436,"v_mov_b32_e32 v1, 0",72,72,0,0,""
13,6440,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 4, 1), 1",72,72,0,2039,""
13,6448,"s_wait_kmcnt 0x0",72,7040,6968,0,""
13,6452,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,6456,"global_load_b32 v2, v1, s[52:53] offset:768",72,72,0,72,""
13,6468,"s_add_co_i32 s2, s73, 0xff",72,72,0,0,""
13,6476,"v_lshl_add_u32 v6, v0, 4, 0",72,72,0,0,""
13,6484,"s_ashr_i32 s3, s2, 31",72,72,0,0,""
13,6488,"v_readfirstlane_b32 s41, v0",72,72,0,576,""
13,6492,"s_lshr_b32 s3, s3, 24",72,72,0,1224,""
13,6496,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,6500,"s_add_co_i32 s3, s2, s3",72,72,0,72,""
13,6504,"v_add_nc_u32_e32 v7, 0x10000, v6",72,72,0,0,""
13,6512,"s_and_b32 s4, s3, 0xffffff00",72,72,0,0,""
13,6520,"s_ashr_i32 s3, s3, 8",72,72,0,0,""
13,6524,"s_cmp_lg_u32 s2, s4",72,72,0,0,""
13,6528,"v_add_nc_u32_e32 v9, 0x11000, v6",72,72,0,0,""
13,6536,"s_cselect_b32 s4, -1, 0",72,72,0,0,""
13,6540,"s_cmp_lt_i32 s2, 0",72,72,0,0,""
13,6544,"v_add_nc_u32_e32 v11, 0x12000, v6",72,72,0,0,""
13,6552,"s_cselect_b32 s2, -1, 0",72,72,0,0,""
13,6556,"v_add_nc_u32_e32 v13, 0x13000, v6",72,72,0,0,""
13,6564,"s_and_b32 s2, s2, s4",72,72,0,0,""
13,6568,"s_sub_co_ci_u32 s2, s3, 0",72,72,0,0,""
13,6572,"s_add_co_i32 s3, s72, 63",72,72,0,0,""
