"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
35,6144,"; moe_gemm1_a8w4",0,0,0,0,""
35,6144,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",74,74,0,15927,""
35,6152,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",74,74,0,592,""
35,6160,"s_clause 0x1",74,666,592,0,""
35,6164,"s_load_b96 s[72:74], s[0:1], 0x5c nv",74,74,0,0,""
35,6172,"s_load_b128 s[52:55], s[0:1], 0x40 nv",74,74,0,0,""
35,6180,"v_mov_b32_e32 v1, 0",74,74,0,0,""
35,6184,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 4, 1), 1",74,74,0,2228,""
35,6192,"s_wait_kmcnt 0x0",74,6893,6819,0,""
35,6196,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
35,6200,"global_load_b32 v2, v1, s[52:53] offset:768",74,74,0,74,""
35,6212,"s_add_co_i32 s2, s73, 0xff",74,74,0,0,""
35,6220,"v_lshl_add_u32 v6, v0, 4, 0",74,74,0,0,""
35,6228,"s_ashr_i32 s3, s2, 31",74,74,0,0,""
35,6232,"v_readfirstlane_b32 s41, v0",74,74,0,592,""
35,6236,"s_lshr_b32 s3, s3, 24",74,74,0,1258,""
35,6240,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
35,6244,"s_add_co_i32 s3, s2, s3",74,74,0,74,""
35,6248,"v_add_nc_u32_e32 v7, 0x10000, v6",74,74,0,0,""
35,6256,"s_and_b32 s4, s3, 0xffffff00",74,74,0,0,""
35,6264,"s_ashr_i32 s3, s3, 8",74,74,0,0,""
35,6268,"s_cmp_lg_u32 s2, s4",74,74,0,0,""
35,6272,"v_add_nc_u32_e32 v9, 0x11000, v6",74,74,0,27,""
35,6280,"s_cselect_b32 s4, -1, 0",74,74,0,0,""
35,6284,"s_cmp_lt_i32 s2, 0",74,74,0,0,""
35,6288,"v_add_nc_u32_e32 v11, 0x12000, v6",74,74,0,0,""
35,6296,"s_cselect_b32 s2, -1, 0",74,74,0,0,""
35,6300,"v_add_nc_u32_e32 v13, 0x13000, v6",74,74,0,0,""
35,6308,"s_and_b32 s2, s2, s4",74,74,0,0,""
35,6312,"s_sub_co_ci_u32 s2, s3, 0",74,74,0,0,""
35,6316,"s_add_co_i32 s3, s72, 63",74,74,0,0,""
35,6320,"v_add_nc_u32_e32 v14, 0x13800, v6",74,74,0,0,""
35,6328,"s_ashr_i32 s4, s3, 31",74,74,0,0,""
35,6332,"v_add_nc_u32_e32 v15, 0x14000, v6",74,74,0,100,""
35,6340,"s_lshr_b32 s4, s4, 26",74,74,0,0,""
35,6344,"v_add_nc_u32_e32 v16, 0x14800, v6",74,74,0,0,""
35,6352,"s_add_co_i32 s4, s3, s4",74,74,0,0,""
35,6356,"v_add_nc_u32_e32 v17, 0x15000, v6",74,74,0,0,""
35,6364,"s_and_b32 s5, s4, 0xffffffc0",74,74,0,0,""
35,6372,"s_ashr_i32 s4, s4, 6",74,74,0,0,""
35,6376,"s_cmp_lg_u32 s3, s5",74,74,0,0,""
35,6380,"v_add_nc_u32_e32 v18, 0x15800, v6",74,74,0,0,""
35,6388,"s_cselect_b32 s5, -1, 0",74,74,0,0,""
35,6392,"s_cmp_lt_i32 s3, 0",74,74,0,0,""
35,6396,"s_getreg_b32 s3, hwreg(HW_REG_IB_STS2, 6, 4)",74,74,0,6,""
35,6400,"s_cselect_b32 s6, -1, 0",74,74,0,0,""
35,6404,"s_bfe_u32 s7, ttmp6, 0x4000c",74,74,0,0,""
35,6412,"s_and_b32 s9, ttmp6, 15",74,74,0,0,""
35,6416,"s_add_co_i32 s7, s7, 1",74,74,0,0,""
35,6420,"s_lshl_b32 s8, s2, 4",74,144,70,0,""
35,6424,"s_mul_i32 s7, ttmp9, s7",74,148,0,0,""
35,6428,"s_and_b32 s5, s6, s5",74,74,0,0,""
35,6432,"s_add_co_i32 s9, s9, s7",74,74,0,0,""
35,6436,"s_cmp_eq_u32 s3, 0",74,74,0,0,""
35,6440,"v_add_nc_u32_e32 v19, 0x16000, v6",74,74,0,0,""
35,6448,"s_cselect_b32 s3, ttmp9, s9",74,74,0,0,""
35,6452,"s_abs_i32 s6, s8",74,74,0,0,""
35,6456,"s_abs_i32 s10, s3",74,74,0,0,""
35,6460,"s_cvt_f32_u32 s7, s6",74,222,0,0,""
35,6464,"s_sub_co_i32 s9, 0, s6",74,74,0,0,""
35,6468,"v_add_nc_u32_e32 v20, 0x16800, v6",74,74,0,0,""
35,6476,"v_add_nc_u32_e32 v21, 0x17000, v6",74,74,0,0,""
35,6484,"v_rcp_iflag_f32_e32 v3, s7",74,148,0,0,""
35,6488,"v_add_nc_u32_e32 v22, 0x17800, v6",74,74,0,0,""
35,6496,"v_add_nc_u32_e32 v23, 0x18000, v6",74,74,0,0,""
35,6504,"v_add_nc_u32_e32 v24, 0x18800, v6",74,74,0,0,""
35,6512,"v_add_nc_u32_e32 v25, 0x19000, v6",74,74,0,0,""
35,6520,"v_add_nc_u32_e32 v26, 0x19800, v6",74,74,0,0,""
35,6528,"v_add_nc_u32_e32 v27, 0x1a000, v6",74,74,0,0,""
35,6536,"v_add_nc_u32_e32 v28, 0x1a800, v6",74,74,0,74,""
35,6544,"v_readfirstlane_b32 s7, v3",74,74,0,0,""
35,6548,"v_add_nc_u32_e32 v29, 0x1b000, v6",74,74,0,0,""
35,6556,"v_add_nc_u32_e32 v30, 0x1b800, v6",74,74,0,0,""
