"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
15,6400,"; a8w4_tdm_fp4_t64x256x256_w1x4_b2_K3072_e96",0,0,0,0,""
15,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",51,51,0,43017,""
15,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",51,51,0,419,""
15,6416,"s_load_b64 s[8:9], s[0:1], 0xa4 nv",51,51,0,437,""
15,6424,"s_wait_kmcnt 0x0",51,11315,11264,0,""
15,6428,"s_add_co_i32 s4, s9, 0xff",51,51,0,237,""
15,6436,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,6440,"s_ashr_i32 s5, s4, 31",51,51,0,100,""
15,6444,"s_lshr_b32 s5, s5, 24",51,51,0,65,""
15,6448,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,6452,"s_add_co_i32 s5, s4, s5",51,51,0,58,""
15,6456,"s_and_b32 s6, s5, 0xffffff00",51,79,28,51,""
15,6464,"s_ashr_i32 s5, s5, 8",51,268,217,0,""
15,6468,"s_cmp_lg_u32 s4, s6",51,77,26,0,""
15,6472,"s_cselect_b32 s6, -1, 0",51,59,8,0,""
15,6476,"s_cmp_lt_i32 s4, 0",51,79,28,0,""
15,6480,"s_cselect_b32 s4, -1, 0",51,51,0,104,""
15,6484,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,6488,"s_and_b32 s4, s4, s6",51,67,16,60,""
15,6492,"s_sub_co_ci_u32 s4, s5, 0",51,51,0,0,""
15,6496,"s_add_co_i32 s5, s8, 63",51,51,0,10,""
15,6500,"s_ashr_i32 s6, s5, 31",51,51,0,59,""
15,6504,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,6508,"s_lshr_b32 s6, s6, 26",51,51,0,68,""
15,6512,"s_add_co_i32 s6, s5, s6",51,51,0,148,""
15,6516,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
15,6520,"s_and_b32 s7, s6, 0xffffffc0",51,95,44,59,""
15,6528,"s_ashr_i32 s6, s6, 6",51,66,15,0,""
15,6532,"s_cmp_lg_u32 s5, s7",51,77,26,0,""
15,6536,"s_cselect_b32 s7, -1, 0",51,99,48,0,""
