"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
13,6400,"; gemm_a8w4_tdm_t16x256x256_w1x4_b2_e384_afp8_outbf16_silu_bias1_qout0_qrep1_v1",0,0,0,0,""
13,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",188,188,0,52449,""
13,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",188,188,0,1665,""
13,6416,"s_clause 0x1",188,1756,1568,0,""
13,6420,"s_load_b128 s[12:15], s[0:1], 0x70 nv",188,309,121,0,""
13,6428,"s_load_b96 s[52:54], s[0:1], 0xa4 nv",188,193,5,0,""
13,6436,"v_mov_b32_e32 v16, 0",188,501,313,0,""
13,6440,"s_mov_b32 s44, 1",188,188,0,96,""
13,6444,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 4, 1), 1",188,188,0,5257,""
13,6452,"s_wait_kmcnt 0x0",188,67118,66930,0,""
13,6456,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,6460,"global_load_b32 v1, v16, s[12:13] offset:768",188,222,34,188,""
13,6472,"s_add_co_i32 s2, s53, 0xff",188,782,594,0,""
13,6480,"v_mov_b32_e32 v4, 0xc0",188,449,261,0,""
13,6488,"s_ashr_i32 s3, s2, 31",188,255,67,0,""
13,6492,"s_mov_b32 s22, 0",188,785,597,0,""
13,6496,"s_lshr_b32 s3, s3, 24",188,396,208,0,""
13,6500,"s_mov_b32 s20, 4",188,230,42,0,""
13,6504,"s_add_co_i32 s3, s2, s3",188,188,0,142,""
13,6508,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,6512,"s_and_b32 s4, s3, 0xffffff00",188,265,77,198,""
13,6520,"s_ashr_i32 s3, s3, 8",188,210,22,0,""
13,6524,"s_cmp_lg_u32 s2, s4",188,225,37,0,""
13,6528,"s_cselect_b32 s4, -1, 0",188,212,24,0,""
13,6532,"s_cmp_lt_i32 s2, 0",188,208,20,0,""
13,6536,"s_cselect_b32 s2, -1, 0",188,188,0,8,""
13,6540,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6544,"s_and_b32 s2, s2, s4",188,221,33,199,""
13,6548,"s_sub_co_ci_u32 s2, s3, 0",188,216,28,0,""
13,6552,"s_add_co_i32 s3, s52, 15",188,188,0,28,""
13,6556,"s_ashr_i32 s4, s3, 31",188,188,0,214,""
13,6560,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6564,"s_lshr_b32 s4, s4, 28",188,188,0,219,""
13,6568,"s_add_co_i32 s4, s3, s4",188,188,0,368,""
13,6572,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,6576,"s_and_b32 s5, s4, -16",188,437,249,202,""
13,6580,"s_ashr_i32 s4, s4, 4",188,397,209,0,""
13,6584,"s_cmp_lg_u32 s3, s5",188,286,98,0,""
13,6588,"s_cselect_b32 s5, -1, 0",188,246,58,0,""
13,6592,"s_cmp_lt_i32 s3, 0",188,278,90,30,""
13,6596,"s_getreg_b32 s3, hwreg(HW_REG_IB_STS2, 6, 4)",188,271,83,24018,""
13,6600,"s_cselect_b32 s6, -1, 0",188,276,88,0,""
13,6604,"s_bfe_u32 s7, ttmp6, 0x4000c",188,398,210,0,""
13,6612,"s_and_b32 s9, ttmp6, 15",188,278,90,0,""
13,6616,"s_add_co_i32 s7, s7, 1",188,279,91,0,""
13,6620,"s_lshl_b32 s8, s2, 4",188,249,61,0,""
13,6624,"s_mul_i32 s7, ttmp9, s7",188,395,19,0,""
13,6628,"s_and_b32 s5, s6, s5",188,194,6,0,""
13,6632,"s_add_co_i32 s9, s9, s7",188,219,31,0,""
13,6636,"s_cmp_eq_u32 s3, 0",188,201,13,0,""
13,6640,"s_cselect_b32 s3, ttmp9, s9",188,203,15,0,""
13,6644,"s_abs_i32 s6, s8",188,214,26,0,""
13,6648,"s_abs_i32 s10, s3",188,240,52,0,""
13,6652,"s_cvt_f32_u32 s7, s6",188,753,189,0,""
13,6656,"s_sub_co_i32 s9, 0, s6",188,188,0,13,""
13,6660,"s_delay_alu instid0(SALU_CYCLE_2) | instskip(SKIP_1) | instid1(TRANS32_DEP_1)",0,0,0,0,""
13,6664,"v_rcp_iflag_f32_e32 v2, s7",188,975,599,202,""
13,6668,"v_nop",188,310,122,52,""
13,6672,"v_readfirstlane_b32 s7, v2",188,188,0,1366,""
13,6676,"s_mul_f32 s7, s7, 0x4f7ffffe",188,564,0,3431,""
13,6684,"s_delay_alu instid0(SALU_CYCLE_3) | instskip(NEXT) | instid1(SALU_CYCLE_3)",0,0,0,0,""
13,6688,"s_cvt_u32_f32 s7, s7",188,564,0,349,""
13,6692,"s_mul_i32 s9, s9, s7",188,376,0,279,""
13,6696,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6700,"s_mul_hi_u32 s9, s7, s9",188,376,0,112,""
13,6704,"s_add_co_i32 s7, s7, s9",188,369,181,0,""
13,6708,"s_xor_b32 s9, s3, s8",188,315,127,0,""
13,6712,"s_mul_hi_u32 s7, s10, s7",188,480,104,0,""
13,6716,"s_ashr_i32 s9, s9, 31",188,253,65,0,""
13,6720,"s_mul_i32 s11, s7, s6",188,376,0,45,""
13,6724,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,6728,"s_sub_co_i32 s10, s10, s11",188,214,26,478,""
13,6732,"s_add_co_i32 s11, s7, 1",188,201,13,0,""
13,6736,"s_sub_co_i32 s16, s10, s6",188,224,36,0,""
13,6740,"s_cmp_ge_u32 s10, s6",188,244,56,0,""
13,6744,"s_cselect_b32 s7, s11, s7",188,207,19,0,""
13,6748,"s_cselect_b32 s10, s16, s10",188,226,38,0,""
13,6752,"s_add_co_i32 s11, s7, 1",188,220,32,0,""
13,6756,"s_cmp_ge_u32 s10, s6",188,340,152,0,""
13,6760,"s_cselect_b32 s6, s11, s7",188,188,0,26,""
13,6764,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6768,"s_xor_b32 s6, s6, s9",188,188,0,220,""
13,6772,"s_sub_co_i32 s7, s6, s9",188,188,0,210,""
13,6776,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6780,"s_mul_i32 s7, s7, s8",188,376,0,235,""
13,6784,"s_cmp_lg_u32 s3, s7",188,237,49,0,""
13,6788,"s_cselect_b32 s7, -1, 0",188,216,28,0,""
13,6792,"s_xor_b32 s2, s2, s3",188,188,0,57,""
13,6796,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_1) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6800,"s_cmp_lt_i32 s2, 0",188,245,57,244,""
13,6804,"s_cselect_b32 s2, -1, 0",188,188,0,19,""
13,6808,"s_and_b32 s2, s2, s7",188,262,74,188,""
13,6812,"s_sub_co_ci_u32 s2, s6, s9",188,188,0,46,""
13,6816,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,6820,"s_mul_i32 s6, s2, s8",188,466,90,607,""
13,6824,"s_lshl_b32 s7, s2, 4",188,206,18,0,""
13,6828,"s_sub_co_i32 s3, s3, s6",188,282,94,0,""
13,6832,"s_cmp_lg_u32 s5, 0",188,260,72,0,""
13,6836,"s_sub_co_ci_u32 s2, s4, s7",188,274,86,0,""
13,6840,"s_abs_i32 s9, s3",188,393,205,0,""
13,6844,"s_min_i32 s4, s2, 16",188,188,0,225,""
13,6848,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6852,"s_abs_i32 s5, s4",188,188,0,546,""
13,6856,"s_cvt_f32_u32 s6, s5",188,659,95,188,""
13,6860,"s_sub_co_i32 s8, 0, s5",188,188,0,89,""
13,6864,"s_delay_alu instid0(SALU_CYCLE_2) | instskip(SKIP_1) | instid1(TRANS32_DEP_1)",0,0,0,0,""
13,6868,"v_rcp_iflag_f32_e32 v2, s6",188,873,497,227,""
13,6872,"v_nop",188,315,127,33,""
13,6876,"v_readfirstlane_b32 s6, v2",188,188,0,1282,""
13,6880,"s_mul_f32 s6, s6, 0x4f7ffffe",188,564,0,3389,""
13,6888,"s_delay_alu instid0(SALU_CYCLE_3) | instskip(NEXT) | instid1(SALU_CYCLE_3)",0,0,0,0,""
13,6892,"s_cvt_u32_f32 s6, s6",188,564,0,256,""
13,6896,"s_mul_i32 s8, s8, s6",188,376,0,268,""
13,6900,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6904,"s_mul_hi_u32 s8, s6, s8",188,376,0,22,""
13,6908,"s_add_co_i32 s6, s6, s8",188,189,1,0,""
13,6912,"s_xor_b32 s8, s3, s4",188,205,17,0,""
13,6916,"s_mul_hi_u32 s6, s9, s6",188,394,18,0,""
13,6920,"s_ashr_i32 s8, s8, 31",188,211,23,0,""
13,6924,"s_mul_i32 s10, s6, s5",188,376,0,33,""
13,6928,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,6932,"s_sub_co_i32 s9, s9, s10",188,262,74,531,""
13,6936,"s_add_co_i32 s10, s6, 1",188,202,14,0,""
13,6940,"s_sub_co_i32 s11, s9, s5",188,199,11,0,""
13,6944,"s_cmp_ge_u32 s9, s5",188,211,23,0,""
13,6948,"s_cselect_b32 s6, s10, s6",188,198,10,0,""
13,6952,"s_cselect_b32 s9, s11, s9",188,214,26,0,""
13,6956,"s_add_co_i32 s10, s6, 1",188,204,16,0,""
13,6960,"s_cmp_ge_u32 s9, s5",188,336,148,0,""
13,6964,"s_cselect_b32 s5, s10, s6",188,188,0,20,""
13,6968,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6972,"s_xor_b32 s5, s5, s8",188,188,0,205,""
13,6976,"s_sub_co_i32 s6, s5, s8",188,188,0,201,""
13,6980,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,6984,"s_mul_i32 s6, s4, s6",188,376,0,214,""
13,6988,"s_cmp_lg_u32 s3, s6",188,204,16,0,""
13,6992,"s_cselect_b32 s6, -1, 0",188,196,8,0,""
13,6996,"s_xor_b32 s2, s3, s2",188,188,0,16,""
13,7000,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_1) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,7004,"s_cmp_lt_i32 s2, 0",188,195,7,240,""
13,7008,"s_cselect_b32 s2, -1, 0",188,188,0,34,""
13,7012,"s_and_b32 s2, s2, s6",188,226,38,188,""
13,7016,"s_sub_co_ci_u32 s2, s5, s8",188,247,59,0,""
13,7020,"s_add_co_i32 s3, s3, s7",188,383,195,0,""
13,7024,"s_mul_i32 s4, s2, s4",188,541,165,6,""
13,7028,"s_mov_b32 s5, s22",188,213,25,0,""
13,7032,"s_sub_co_i32 s76, s3, s4",188,354,166,0,""
13,7036,"s_mov_b32 s4, s22",188,353,165,0,""
13,7040,"s_lshl_b32 s34, s76, 4",188,345,157,1,""
13,7044,"s_mov_b32 s6, s22",188,397,209,0,""
13,7048,"s_mov_b32 s7, s22",188,188,0,9,""
13,7052,"v_readfirstlane_b32 s3, v0",188,188,0,2325,""
13,7056,"s_mov_b32 s8, 2",188,188,0,3436,""
13,7060,"s_wait_loadcnt 0x0",188,9857,9669,0,""
13,7064,"v_cmp_lt_i32_e32 vcc_lo, s34, v1",188,776,588,526,""
13,7068,"v_cndmask_b32_e64 v1, 0xc1, 0, vcc_lo",188,394,206,0,""
13,7080,"v_mov_b32_e32 v2, 0x60",188,318,130,0,""
13,7088,"v_cndmask_b32_e32 v4, 0x180, v4, vcc_lo",188,312,124,77,""
13,7096,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
13,7100,"v_cndmask_b32_e32 v2, 0x120, v2, vcc_lo",188,188,0,698,""
13,7108,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,7112,"global_load_b32 v3, v2, s[12:13] scale_offset",188,188,0,3268,""
13,7124,"s_wait_loadcnt 0x0",188,55367,55179,0,""
13,7128,"v_cmp_lt_i32_e32 vcc_lo, s34, v3",188,432,244,0,""
13,7132,"v_or_b32_e32 v5, 1, v2",188,188,0,179,""
13,7136,"s_wait_alu depctr_vm_vsrc(0)",0,0,0,0,""
13,7140,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
13,7144,"v_dual_cndmask_b32 v2, v4, v2 :: v_dual_cndmask_b32 v1, v5, v1",188,188,0,1001,""
13,7152,"v_add_nc_u32_e32 v3, v1, v2",188,188,0,886,""
13,7156,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
13,7160,"v_lshrrev_b32_e32 v3, 1, v3",188,188,0,946,""
13,7164,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,7168,"global_load_b32 v4, v3, s[12:13] scale_offset",188,188,0,3182,""
13,7180,"s_wait_loadcnt 0x0",188,52473,52285,0,""
13,7184,"v_cmp_lt_i32_e32 vcc_lo, s34, v4",188,779,591,0,""
13,7188,"v_dual_cndmask_b32 v2, v2, v3, vcc_lo :: v_dual_bitop2_b32 v5, 1, v3 bitop3:0x54",188,188,0,187,""
13,7200,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
13,7204,"v_cndmask_b32_e32 v1, v5, v1, vcc_lo",188,590,402,779,""
13,7208,"s_wait_alu depctr_vm_vsrc(0)",0,0,0,0,""
13,7212,"v_add_nc_u32_e32 v3, v1, v2",188,188,0,106,""
13,7216,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
13,7220,"v_lshrrev_b32_e32 v6, 1, v3",188,188,0,944,""
13,7224,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,7228,"global_load_b32 v3, v6, s[12:13] scale_offset",188,200,12,4010,""
13,7240,"v_add_nc_u32_e32 v4, 1, v6",188,188,0,206,""
13,7244,"s_wait_loadcnt 0x0",188,37413,37225,0,""
13,7248,"v_cmp_lt_i32_e32 vcc_lo, s34, v3",188,485,297,0,""
13,7252,"v_dual_mov_b32 v3, v16 :: v_dual_mov_b32 v5, v16",188,280,92,0,""
13,7264,"s_delay_alu instid0(VALU_DEP_3) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
13,7268,"v_dual_cndmask_b32 v2, v2, v6, vcc_lo :: v_dual_cndmask_b32 v4, v4, v1, vcc_lo",188,350,162,0,""
13,7280,"s_wait_alu depctr_vm_vsrc(0)",0,0,0,0,""
13,7284,"v_add_nc_u64_e32 v[6:7], v[4:5], v[2:3]",188,376,0,236,""
13,7288,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
13,7292,"v_lshrrev_b64 v[6:7], 1, v[6:7]",188,376,0,976,""
13,7300,"v_lshlrev_b64_e32 v[8:9], 2, v[6:7]",188,456,80,792,""
13,7304,"v_add_nc_u32_e32 v3, 1, v6",188,248,60,93,""
13,7308,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
13,7312,"v_add_nc_u64_e32 v[8:9], s[12:13], v[8:9]",188,376,0,634,""
13,7316,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,7320,"global_load_b32 v1, v[8:9], off",188,188,0,3992,""
13,7332,"s_wait_loadcnt 0x0",188,25508,25320,0,""
13,7336,"v_cmp_lt_i32_e32 vcc_lo, s34, v1",188,620,432,0,""
13,7340,"v_dual_cndmask_b32 v1, v3, v4 :: v_dual_cndmask_b32 v2, v2, v6",188,338,150,0,""
13,7348,"v_lshl_add_u32 v6, v0, 4, 0",188,247,59,79,""
13,7356,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_2)",0,0,0,0,""
13,7360,"v_add_nc_u32_e32 v3, v1, v2",188,278,90,533,""
13,7364,"v_add_nc_u32_e32 v7, 0x10000, v6",188,294,106,32,""
13,7372,"s_wait_alu depctr_vm_vsrc(0)",0,0,0,0,""
13,7376,"v_add_nc_u32_e32 v8, 0x10800, v6",188,243,55,0,""
13,7384,"v_add_nc_u32_e32 v9, 0x11000, v6",188,275,87,0,""
13,7392,"v_add_nc_u32_e32 v10, 0x11800, v6",188,276,88,0,""
13,7400,"v_lshrrev_b32_e32 v3, 1, v3",188,240,52,0,""
13,7404,"v_add_nc_u32_e32 v11, 0x12000, v6",188,216,28,0,""
13,7412,"v_add_nc_u32_e32 v12, 0x12800, v6",188,223,35,0,""
13,7420,"v_add_nc_u32_e32 v13, 0x13000, v6",188,190,2,41,""
13,7428,"s_wait_alu depctr_va_vdst(3)",0,0,0,0,""
13,7432,"global_load_b32 v4, v3, s[12:13] scale_offset",188,188,0,2513,""
13,7444,"s_wait_loadcnt 0x0",188,20206,20018,0,""
13,7448,"v_cmp_lt_i32_e32 vcc_lo, s34, v4",188,382,194,0,""
13,7452,"v_add_nc_u32_e32 v5, 1, v3",188,188,0,60,""
13,7456,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
13,7460,"v_dual_cndmask_b32 v1, v5, v1 :: v_dual_cndmask_b32 v2, v2, v3",188,281,93,754,""
13,7468,"s_wait_alu depctr_vm_vsrc(0)",0,0,0,0,""
13,7472,"v_add_nc_u32_e32 v3, v1, v2",188,188,0,99,""
13,7476,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
13,7480,"v_lshrrev_b32_e32 v3, 1, v3",188,188,0,844,""
13,7484,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
13,7488,"global_load_b32 v4, v3, s[12:13] scale_offset",188,188,0,3958,""
13,7500,"s_wait_loadcnt 0x0",188,21789,21601,0,""
13,7504,"v_cmp_lt_i32_e32 vcc_lo, s34, v4",188,454,266,0,""
13,7508,"v_add_nc_u32_e32 v5, 1, v3",188,188,0,145,""
13,7512,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
13,7516,"v_dual_cndmask_b32 v1, v5, v1 :: v_dual_cndmask_b32 v2, v2, v3",188,274,86,764,""
13,7524,"s_wait_alu depctr_vm_vsrc(0)",0,0,0,0,""
13,7528,"v_add_nc_u32_e32 v3, v1, v2",188,188,0,198,""
13,7532,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
13,7536,"v_lshrrev_b32_e32 v3, 1, v3",188,188,0,868,""
13,7540,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
