"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
1,6656,"; f4gemm_bf16_mxfp4_ABpreShuffle_64x256_1x4_batch_ps",0,0,0,0,""
1,6656,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",36,36,0,5507,""
1,6660,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",36,36,0,0,""
1,6668,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",36,36,0,288,""
1,6676,"s_lshr_b32 s32, ttmp7, 16",36,36,0,288,""
1,6680,"s_mul_hi_u32 s35, s32, s22",36,72,0,0,""
1,6684,"s_mul_i32 s34, s32, s23",36,72,0,0,""
1,6688,"s_add_co_u32 s35, s35, s34",36,36,0,0,""
1,6692,"s_mul_i32 s34, s32, s22",36,72,0,0,""
1,6696,"s_add_nc_u64 s[2:3], s[2:3], s[34:35]",36,36,0,0,""
1,6700,"s_mul_hi_u32 s35, s32, s24",36,72,0,0,""
1,6704,"s_mul_i32 s34, s32, s25",36,72,0,0,""
1,6708,"s_add_co_u32 s35, s35, s34",36,108,72,0,""
1,6712,"s_mul_i32 s34, s32, s24",36,108,36,0,""
1,6716,"s_add_nc_u64 s[4:5], s[4:5], s[34:35]",36,72,36,0,""
1,6720,"s_mul_hi_u32 s35, s32, s26",36,108,36,0,""
1,6724,"s_mul_i32 s34, s32, s27",36,108,36,0,""
1,6728,"s_add_co_u32 s35, s35, s34",36,72,36,0,""
1,6732,"s_mul_i32 s34, s32, s26",36,108,36,0,""
1,6736,"s_add_nc_u64 s[6:7], s[6:7], s[34:35]",36,72,36,0,""
1,6740,"s_mul_hi_u32 s35, s32, s28",36,108,36,0,""
1,6744,"s_mul_i32 s34, s32, s29",36,108,36,0,""
1,6748,"s_add_co_u32 s35, s35, s34",36,72,36,0,""
1,6752,"s_mul_i32 s34, s32, s28",36,108,36,0,""
1,6756,"s_add_nc_u64 s[8:9], s[8:9], s[34:35]",36,72,36,0,""
1,6760,"s_mul_hi_u32 s35, s32, s30",36,108,36,0,""
1,6764,"s_mul_i32 s34, s32, s31",36,108,36,0,""
1,6768,"s_add_co_u32 s35, s35, s34",36,72,36,0,""
1,6772,"s_mul_i32 s34, s32, s30",36,108,36,0,""
1,6776,"s_add_nc_u64 s[10:11], s[10:11], s[34:35]",36,72,36,0,""
1,6780,"s_mov_b32 s44, s2",36,72,36,0,""
1,6784,"s_mov_b32 s45, s3",36,72,36,0,""
1,6788,"s_bfe_u32 s22, ttmp8, 0x50019",36,72,36,0,""
1,6796,"s_cmp_eq_u32 s22, 0",36,36,0,36,""
1,6800,"s_cbranch_scc0 4",36,36,0,432,""
1,6804,"s_getreg_b32 s24, hwreg(HW_REG_WAVE_MODE)",36,36,0,72,""
1,6808,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 24, 1), 1",36,36,0,216,""
1,6816,"s_getreg_b32 s24, hwreg(HW_REG_WAVE_MODE)",36,36,0,288,""
1,6820,"s_wait_kmcnt 0x0",36,108,72,0,""
1,6824,"v_lshrrev_b32_e32 v1, 10, v0",36,36,0,0,""
1,6828,"v_lshrrev_b32_e32 v2, 10, v1",36,36,0,0,""
1,6832,"v_and_b32_e32 v0, 0x3ff, v0",36,36,0,0,""
1,6840,"v_and_b32_e32 v1, 0x3ff, v1",36,36,0,0,""
1,6848,"v_and_b32_e32 v2, 0x3ff, v2",36,36,0,0,""
1,6856,"v_lshrrev_b32_e32 v3, 5, v0",36,36,0,0,""
1,6860,"v_and_b32_e32 v0, 31, v0",36,36,0,0,""
1,6864,"v_readfirstlane_b32 s22, v3",36,36,0,0,""
1,6868,"s_bfe_u32 s22, ttmp8, 0x50019",36,36,0,936,""
1,6876,"s_bfe_u32 s52, ttmp6, 0x40010",36,36,0,0,""
1,6884,"s_bfe_u32 s51, ttmp6, 0x4000c",36,36,0,0,""
1,6892,"s_bfe_u32 s50, ttmp6, 0x40004",36,36,0,0,""
1,6900,"s_bfe_u32 s49, ttmp6, 0x40000",36,36,0,0,""
1,6908,"s_add_co_i32 s52, s52, 1",36,36,0,0,""
1,6912,"s_add_co_i32 s51, s51, 1",36,36,0,0,""
1,6916,"s_and_b32 s24, ttmp7, 0xffff",36,36,0,0,""
1,6924,"s_lshl_b32 s24, s24, s20",36,36,0,0,""
1,6928,"s_add_co_u32 s28, s24, ttmp9",36,36,0,0,""
1,6932,"s_mov_b32 s59, s19",36,36,0,0,""
1,6936,"s_mov_b32 s70, s19",36,36,0,0,""
1,6940,"s_add_co_u32 s71, s19, 0x200",36,36,0,0,""
1,6948,"s_ctz_i32_b32 s25, s51",36,36,0,0,""
1,6952,"s_add_co_i32 s25, s25, 8",36,36,0,0,""
1,6956,"s_lshl_b32 s26, 1, s25",36,72,36,0,""
1,6960,"s_sub_co_u32 s26, s26, 1",36,72,36,0,""
1,6964,"s_add_co_u32 s61, s18, s26",36,36,0,0,""
1,6968,"s_lshr_b32 s61, s61, s25",36,36,0,0,""
1,6972,"s_ctz_i32_b32 s25, s52",36,36,0,0,""
1,6976,"s_add_co_i32 s25, s25, 6",36,36,0,0,""
1,6980,"s_lshl_b32 s26, 1, s25",36,72,36,0,""
1,6984,"s_sub_co_u32 s26, s26, 1",36,72,36,0,""
1,6988,"s_add_co_u32 s29, s17, s26",36,72,36,0,""
1,6992,"s_lshr_b32 s29, s29, s25",36,72,36,0,""
1,6996,"s_mul_i32 s29, s29, s61",36,108,36,0,""
1,7000,"s_mov_b32 s94, 0",36,36,0,0,""
1,7004,"s_cmp_lt_u32 s28, s29",36,36,0,36,""
