"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
25,6400,"; f4gemm_bf16_mxfp4_ABpreShuffle_64x256_moe_loadonly_v21",0,0,0,0,""
25,6400,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",52,52,0,4093,""
25,6404,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",52,52,0,0,""
25,6412,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",52,52,0,416,""
25,6420,"s_load_b64 s[44:45], s[0:1], 0x0 nv",52,52,0,416,""
25,6428,"s_load_b128 s[4:7], s[0:1], 0x28 nv",52,52,0,0,""
25,6436,"s_load_b64 s[8:9], s[0:1], 0x38 nv",52,52,0,0,""
25,6444,"s_load_b64 s[10:11], s[0:1], 0x60 nv",52,52,0,0,""
25,6452,"s_load_b64 s[30:31], s[0:1], 0x70 nv",52,52,0,0,""
25,6460,"s_load_b64 s[16:17], s[0:1], 0xa4 nv",52,52,0,0,""
25,6468,"s_wait_kmcnt 0x0",52,2563,2511,0,""
25,6472,"s_mov_b32 s18, s17",52,52,0,0,""
25,6476,"s_mov_b32 s17, s16",52,52,0,0,""
25,6480,"s_bfe_u32 s22, ttmp8, 0x50019",52,52,0,0,""
25,6488,"s_cmp_eq_u32 s22, 0",52,52,0,0,""
25,6492,"s_cbranch_scc0 4",52,52,0,468,""
25,6496,"s_getreg_b32 s24, hwreg(HW_REG_WAVE_MODE)",0,0,0,0,""
25,6500,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 24, 1), 1",0,0,0,0,""
25,6508,"s_getreg_b32 s24, hwreg(HW_REG_WAVE_MODE)",0,0,0,0,""
25,6512,"v_lshrrev_b32_e32 v1, 10, v0",52,52,0,416,""
25,6516,"v_lshrrev_b32_e32 v2, 10, v1",52,52,0,0,""
25,6520,"v_and_b32_e32 v0, 0x3ff, v0",52,52,0,0,""
25,6528,"v_and_b32_e32 v1, 0x3ff, v1",52,52,0,0,""
25,6536,"v_and_b32_e32 v2, 0x3ff, v2",52,52,0,0,""
25,6544,"v_lshrrev_b32_e32 v3, 5, v0",52,52,0,0,""
25,6548,"v_and_b32_e32 v0, 31, v0",52,52,0,0,""
25,6552,"v_lshlrev_b32_e32 v8, 4, v0",52,52,0,0,""
25,6556,"s_bfe_u32 s22, ttmp8, 0x50019",52,52,0,0,""
25,6564,"s_mov_b32 s28, ttmp9",52,52,0,0,""
25,6568,"s_lshr_b32 s24, s28, 7",52,52,0,0,""
25,6572,"s_mul_hi_u32 s25, s24, 0xaaaaaaab",52,104,0,0,""
25,6580,"s_lshr_b32 s25, s25, 1",52,52,0,0,""
25,6584,"s_mul_i32 s26, s25, 0x180",52,104,0,0,""
25,6592,"s_sub_co_u32 s27, s28, s26",52,52,0,0,""
25,6596,"s_lshr_b32 s54, s27, 4",52,52,0,0,""
25,6600,"s_and_b32 s24, s27, 15",52,52,0,0,""
25,6604,"s_lshl_b32 s55, s25, 4",52,52,0,0,""
25,6608,"s_add_co_u32 s55, s55, s24",52,104,52,0,""
25,6612,"s_lshl_b32 s28, s55, 6",52,104,52,0,""
25,6616,"s_mov_b32 s24, 0",52,156,104,0,""
25,6620,"s_mov_b32 s25, 0x60",52,104,52,0,""
25,6628,"s_add_co_u32 s26, s24, s25",52,104,52,0,""
25,6632,"s_lshr_b32 s26, s26, 1",52,52,0,0,""
25,6636,"s_min_u32 s26, s26, 0x5f",52,52,0,0,""
25,6644,"s_load_b32 s27, s[30:31], s26 offset:0x0 scale_offset",52,52,0,676,""
25,6652,"s_add_co_u32 s29, s26, 1",52,52,0,0,""
25,6656,"s_wait_kmcnt 0x0",52,4859,4807,0,""
25,6660,"s_cmp_gt_u32 s27, s28",52,52,0,0,""
25,6664,"s_cselect_b32 s25, s26, s25",52,52,0,0,""
25,6668,"s_cselect_b32 s24, s24, s29",52,52,0,0,""
25,6672,"s_add_co_u32 s26, s24, s25",52,52,0,0,""
25,6676,"s_lshr_b32 s26, s26, 1",52,52,0,0,""
25,6680,"s_min_u32 s26, s26, 0x5f",52,52,0,0,""
25,6688,"s_load_b32 s27, s[30:31], s26 offset:0x0 scale_offset",52,52,0,624,""
25,6696,"s_add_co_u32 s29, s26, 1",52,52,0,0,""
25,6700,"s_wait_kmcnt 0x0",52,3272,3220,0,""
25,6704,"s_cmp_gt_u32 s27, s28",52,52,0,0,""
25,6708,"s_cselect_b32 s25, s26, s25",52,52,0,0,""
25,6712,"s_cselect_b32 s24, s24, s29",52,52,0,0,""
25,6716,"s_add_co_u32 s26, s24, s25",52,52,0,0,""
25,6720,"s_lshr_b32 s26, s26, 1",52,52,0,0,""
25,6724,"s_min_u32 s26, s26, 0x5f",52,52,0,0,""
25,6732,"s_load_b32 s27, s[30:31], s26 offset:0x0 scale_offset",52,52,0,624,""
25,6740,"s_add_co_u32 s29, s26, 1",52,52,0,0,""
25,6744,"s_wait_kmcnt 0x0",52,4146,4094,0,""
