"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
19,6400,"; _ZN5aiter48f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_4x4_psE",0,0,0,0,"aiter::f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_4x4_ps"
19,6400,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",4,4,0,17139,""
19,6404,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",4,4,0,0,""
19,6412,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",4,4,0,32,""
19,6420,"v_and_b32_e32 v0, 31, v0",4,4,0,32,""
19,6424,"s_bfe_u32 s68, ttmp8, 0x50019",4,4,0,0,""
19,6432,"s_cmp_eq_u32 s68, 0",4,4,0,0,""
19,6436,"s_cbranch_scc0 33",4,4,0,36,""
19,6440,"s_getreg_b32 s60, hwreg(HW_REG_WAVE_MODE)",4,4,0,8,""
19,6444,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 24, 1), 1",4,4,0,24,""
19,6452,"s_getreg_b32 s60, hwreg(HW_REG_WAVE_MODE)",4,4,0,32,""
19,6456,"s_get_pc_i64 s[60:61]",4,4,0,0,""
19,6460,"s_mov_b32 s62, 31",4,4,0,16,""
19,6464,"s_prefetch_inst s[60:61], 0x0, s62, 0",4,4,0,600,""
19,6472,"s_prefetch_inst s[60:61], 0x1000, s62, 0",4,4,0,0,""
19,6480,"s_prefetch_inst s[60:61], 0x2000, s62, 0",4,4,0,0,""
19,6488,"s_prefetch_inst s[60:61], 0x3000, s62, 0",4,4,0,0,""
19,6496,"s_prefetch_inst s[60:61], 0x4000, s62, 0",4,4,0,0,""
19,6504,"s_prefetch_inst s[60:61], 0x5000, s62, 0",4,4,0,0,""
19,6512,"s_prefetch_inst s[60:61], 0x6000, s62, 0",4,4,0,0,""
19,6520,"s_prefetch_inst s[60:61], 0x7000, s62, 0",4,4,0,0,""
19,6528,"s_prefetch_inst s[60:61], 0x8000, s62, 0",4,4,0,123,""
19,6536,"s_prefetch_inst s[60:61], 0x9000, s62, 0",4,4,0,0,""
19,6544,"s_prefetch_inst s[60:61], 0xa000, s62, 0",4,4,0,0,""
19,6552,"s_prefetch_inst s[60:61], 0xb000, s62, 0",4,4,0,0,""
19,6560,"s_mov_b32 s62, 19",4,4,0,0,""
19,6564,"s_prefetch_inst s[60:61], 0xc000, s62, 0",4,4,0,24,""
19,6572,"s_mov_b32 s80, ttmp9",4,4,0,0,""
19,6576,"s_bfe_u32 s81, ttmp6, 0x40000",4,4,0,0,""
19,6584,"s_bfe_u32 s60, ttmp6, 0x40004",4,4,0,0,""
19,6592,"s_lshl_b32 s60, s60, 2",4,4,0,0,""
19,6596,"s_or_b32 s81, s81, s60",4,4,0,0,""
19,6600,"s_add_co_u32 s60, s17, 1",4,4,0,0,""
19,6604,"s_and_b32 s64, s60, -2",4,4,0,0,""
19,6608,"s_add_co_u32 s60, s18, 15",4,4,0,0,""
19,6612,"s_and_b32 s66, s60, -16",4,4,0,0,""
19,6616,"s_add_co_u32 s60, s17, 31",4,4,0,0,""
19,6620,"s_and_b32 s65, s60, 0xffffffe0",4,8,4,0,""
19,6628,"s_add_co_u32 s60, s18, 31",4,8,4,0,""
19,6632,"s_and_b32 s67, s60, 0xffffffe0",4,4,0,0,""
19,6640,"s_add_co_u32 s60, s18, 0x3ff",4,8,4,0,""
19,6648,"s_lshr_b32 s60, s60, 10",4,4,0,0,""
19,6652,"s_add_co_u32 s82, s17, 0x3ff",4,8,4,0,""
19,6660,"s_lshr_b32 s82, s82, 10",4,4,0,0,""
19,6664,"s_mul_i32 s86, s82, s60",4,12,4,0,""
19,6668,"s_lshr_b32 s83, s60, 2",4,4,0,0,""
19,6672,"s_lshl_b32 s83, s83, 2",4,8,4,0,""
19,6676,"s_sub_co_u32 s84, s60, s83",4,4,0,0,""
19,6680,"s_mul_i32 s85, s83, s82",4,12,4,0,""
19,6684,"s_cmp_lt_i32 s80, s86",4,4,0,0,""
19,6688,"s_cselect_b32 s74, 0, 1",4,4,0,4,""
19,6692,"s_cbranch_scc0 80",4,4,0,56,""
19,6696,"s_cmp_lt_i32 s80, s85",4,4,0,8,""
19,6700,"s_cbranch_scc0 37",4,4,0,32,""
19,6852,"s_sub_co_u32 s60, s80, s85",4,4,0,32,""
19,6856,"v_cvt_f32_u32_e32 v204, s84",4,4,0,0,""
19,6860,"s_sub_co_i32 s70, 0, s84",4,4,0,16,""
