"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
23,6400,"; moe_gemm1_mxfp4_ABpreShuffle_256x256_4x4_batch_ps_act1",0,0,0,0,""
23,6400,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",4,4,0,1837,""
23,6404,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",4,4,0,0,""
23,6412,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",4,4,0,32,""
23,6420,"s_and_b32 s28, ttmp7, 0xffff",4,4,0,32,""
23,6428,"s_lshl_b32 s28, s28, 2",4,4,0,0,""
23,6432,"s_add_co_u32 s28, s28, ttmp9",4,4,0,0,""
23,6436,"s_mov_b32 s101, 0",4,4,0,0,""
23,6440,"s_branch 2",4,4,0,0,""
23,6444,"s_mov_b32 s101, 1",140,140,0,3860,""
23,6448,"s_branch 64",140,140,0,0,""
23,6452,"s_cmp_lt_u32 s28, 0x240",4,4,0,32,""
23,6460,"s_cbranch_scc0 12907",4,4,0,32,""
23,6464,"s_load_b64 s[2:3], s[0:1], 0x0 nv",4,4,0,8,""
23,6472,"s_load_b64 s[4:5], s[0:1], 0x28 nv",4,4,0,0,""
23,6480,"s_load_b64 s[6:7], s[0:1], 0x30 nv",4,4,0,0,""
23,6488,"s_load_b64 s[8:9], s[0:1], 0x38 nv",4,4,0,0,""
23,6496,"s_load_b64 s[10:11], s[0:1], 0x60 nv",4,4,0,0,""
23,6504,"s_load_b32 s102, s[0:1], 0xac nv",4,4,0,0,""
23,6512,"s_wait_kmcnt 0x0",4,4423,4419,0,""
23,6516,"s_xor_b32 s103, s102, 0x80000000",4,4,0,0,""
23,6524,"s_bfe_u32 s22, ttmp8, 0x50019",4,4,0,0,""
23,6532,"s_mov_b32 exec_lo, -1",4,4,0,0,""
23,6536,"s_set_vgpr_msb 0",0,0,0,0,""
23,6540,"v_mbcnt_lo_u32_b32 v0, -1, 0",4,4,0,32,""
23,6548,"v_mov_b32_e32 v1, s22",4,4,0,0,""
23,6552,"v_lshlrev_b32_e32 v1, 5, v1",4,4,0,0,""
23,6556,"v_or_b32_e32 v0, v0, v1",4,4,0,0,""
23,6560,"s_and_b32 s49, ttmp6, 15",4,4,0,16,""
23,6564,"s_bfe_u32 s48, ttmp6, 0x40004",4,4,0,0,""
23,6572,"s_mul_hi_u32 s35, s28, 0xaaaaaaab",4,8,0,0,""
23,6580,"s_lshr_b32 s35, s35, 4",4,4,0,0,""
23,6584,"s_mul_i32 s46, s35, 24",4,8,0,0,""
23,6588,"s_sub_co_u32 s47, s28, s46",4,4,0,0,""
23,6592,"s_lshr_b32 s54, s47, 2",4,4,0,0,""
23,6596,"s_lshl_b32 s54, s54, 2",4,4,0,0,""
23,6600,"s_add_co_u32 s54, s54, s49",4,4,0,0,""
23,6604,"s_and_b32 s34, s47, 3",4,4,0,0,""
23,6608,"s_lshl_b32 s34, s34, 2",4,4,0,0,""
23,6612,"s_lshl_b32 s55, s35, 4",4,12,8,0,""
23,6616,"s_add_co_u32 s55, s55, s34",4,8,4,0,""
23,6620,"s_add_co_u32 s55, s55, s48",4,8,4,0,""
23,6624,"s_lshr_b32 s32, s55, 2",4,8,4,0,""
23,6628,"s_cmp_ge_u32 s32, 0x60",4,4,0,4,""
23,6636,"s_cbranch_scc1 12863",4,4,0,52,""
23,6640,"s_and_b32 s55, s55, 3",4,4,0,8,""
23,6644,"s_mul_i32 s34, s32, 0x600000",4,8,0,0,""
23,6652,"s_mov_b32 s35, 0",4,4,0,0,""
23,6656,"s_add_nc_u64 s[2:3], s[2:3], s[34:35]",4,4,0,0,""
23,6660,"s_mul_i32 s34, s32, 0x380000",4,8,0,0,""
23,6668,"s_add_nc_u64 s[4:5], s[4:5], s[34:35]",4,4,0,0,""
