"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
9,6400,"; a8w4_tdm_fp4_t256x256x256_w2x2_b4_K7168_e96_act1_cn4_prefetch_wpt1",0,0,0,0,""
9,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",163,163,0,10025,""
9,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",163,163,0,1304,""
9,6416,"s_load_b96 s[20:22], s[0:1], 0xa4 nv",163,163,0,1304,""
9,6424,"s_and_b32 s6, ttmp6, 15",163,163,0,0,""
9,6428,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6432,"s_lshl2_add_u32 s13, ttmp9, s6",163,163,0,163,""
9,6436,"s_wait_kmcnt 0x0",163,8981,8818,0,""
9,6440,"s_add_co_i32 s4, s21, 0xff",163,163,0,0,""
9,6448,"s_ashr_i32 s5, s4, 31",163,163,0,163,""
9,6452,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6456,"s_lshr_b32 s5, s5, 24",163,163,0,163,""
9,6460,"s_add_co_i32 s5, s4, s5",163,163,0,163,""
9,6464,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
9,6468,"s_and_b32 s6, s5, 0xffffff00",163,163,0,163,""
9,6476,"s_ashr_i32 s5, s5, 8",163,163,0,0,""
9,6480,"s_cmp_lg_u32 s4, s6",163,163,0,0,""
9,6484,"s_cselect_b32 s6, -1, 0",163,163,0,0,""
9,6488,"s_cmp_lt_i32 s4, 0",163,163,0,0,""
9,6492,"s_cselect_b32 s4, -1, 0",163,163,0,0,""
9,6496,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6500,"s_and_b32 s4, s4, s6",163,163,0,163,""
9,6504,"s_sub_co_ci_u32 s4, s5, 0",163,163,0,0,""
9,6508,"s_add_co_i32 s5, s20, 0xff",163,163,0,0,""
9,6516,"s_ashr_i32 s6, s5, 31",163,163,0,163,""
9,6520,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6524,"s_lshr_b32 s6, s6, 24",163,163,0,163,""
9,6528,"s_add_co_i32 s6, s5, s6",163,163,0,163,""
9,6532,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
9,6536,"s_and_b32 s7, s6, 0xffffff00",163,163,0,163,""
9,6544,"s_ashr_i32 s6, s6, 8",163,163,0,0,""
9,6548,"s_cmp_lg_u32 s5, s7",163,163,0,0,""
9,6552,"s_cselect_b32 s7, -1, 0",163,163,0,0,""
9,6556,"s_cmp_lt_i32 s5, 0",163,163,0,0,""
9,6560,"s_cselect_b32 s5, -1, 0",163,326,163,0,""
9,6564,"s_ashr_i32 s8, s13, 31",163,326,163,0,""
9,6568,"s_and_b32 s5, s5, s7",163,326,163,0,""
9,6572,"s_lshr_b32 s8, s8, 30",163,163,0,0,""
9,6576,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6580,"s_add_co_i32 s8, s13, s8",163,163,0,489,""
9,6584,"s_and_b32 s7, s8, -4",163,163,0,163,""
9,6588,"s_ashr_i32 s8, s8, 2",163,163,0,0,""
9,6592,"s_cmp_lg_u32 s13, s7",163,163,0,0,""
9,6596,"s_cselect_b32 s7, -1, 0",163,163,0,0,""
9,6600,"s_cmp_lt_i32 s13, 0",163,163,0,0,""
9,6604,"s_cselect_b32 s9, -1, 0",163,163,0,0,""
9,6608,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6612,"s_and_b32 s7, s9, s7",163,163,0,163,""
9,6616,"s_sub_co_ci_u32 s23, s8, 0",163,163,0,0,""
9,6620,"s_ashr_i32 s9, s4, 31",163,163,0,0,""
9,6624,"s_lshr_b32 s9, s9, 30",163,163,0,163,""
9,6628,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6632,"s_add_co_i32 s9, s4, s9",163,163,0,163,""
9,6636,"s_and_b32 s10, s9, -4",163,163,0,163,""
9,6640,"s_ashr_i32 s9, s9, 2",163,163,0,0,""
9,6644,"s_cmp_lg_u32 s4, s10",163,163,0,0,""
9,6648,"s_cselect_b32 s10, -1, 0",163,163,0,0,""
9,6652,"s_cmp_lt_i32 s4, 0",163,163,0,0,""
9,6656,"s_cselect_b32 s4, -1, 0",163,163,0,163,""
