"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
9,6400,"; a8w4_tdm_fp4_t256x256x256_w2x2_b4_K7168_e96_act1_cn4_prefetch_wpt1",0,0,0,0,""
9,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",182,182,0,10813,""
9,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",182,182,0,1456,""
9,6416,"s_clause 0x1",182,1638,1456,0,""
9,6420,"s_load_b96 s[20:22], s[0:1], 0xa4 nv",182,182,0,0,""
9,6428,"s_load_b64 s[4:5], s[0:1], 0x70 nv",182,182,0,0,""
9,6436,"v_mov_b32_e32 v1, 0",182,182,0,0,""
9,6440,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",182,182,0,5774,""
9,6448,"s_wait_kmcnt 0x0",182,6287,6105,0,""
9,6452,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
9,6456,"global_load_b32 v2, v1, s[4:5] offset:192",182,182,0,182,""
9,6468,"s_add_co_i32 s6, s21, 0xff",182,182,0,0,""
9,6476,"s_and_b32 s8, ttmp6, 15",182,182,0,0,""
9,6480,"s_ashr_i32 s7, s6, 31",182,182,0,0,""
9,6484,"s_lshl2_add_u32 s10, ttmp9, s8",182,182,0,0,""
9,6488,"s_lshr_b32 s7, s7, 24",182,182,0,0,""
9,6492,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6496,"s_add_co_i32 s7, s6, s7",182,182,0,182,""
9,6500,"s_and_b32 s8, s7, 0xffffff00",182,182,0,182,""
9,6508,"s_ashr_i32 s7, s7, 8",182,182,0,0,""
9,6512,"s_cmp_lg_u32 s6, s8",182,182,0,0,""
9,6516,"s_cselect_b32 s8, -1, 0",182,182,0,0,""
9,6520,"s_cmp_lt_i32 s6, 0",182,182,0,0,""
9,6524,"s_cselect_b32 s6, -1, 0",182,182,0,0,""
9,6528,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6532,"s_and_b32 s6, s6, s8",182,182,0,182,""
9,6536,"s_sub_co_ci_u32 s6, s7, 0",182,182,0,0,""
9,6540,"s_add_co_i32 s7, s20, 0xff",182,182,0,0,""
9,6548,"s_ashr_i32 s8, s7, 31",182,182,0,182,""
9,6552,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6556,"s_lshr_b32 s8, s8, 24",182,182,0,182,""
9,6560,"s_add_co_i32 s8, s7, s8",182,182,0,182,""
9,6564,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
9,6568,"s_and_b32 s9, s8, 0xffffff00",182,182,0,182,""
9,6576,"s_ashr_i32 s8, s8, 8",182,182,0,0,""
9,6580,"s_cmp_lg_u32 s7, s9",182,182,0,0,""
9,6584,"s_cselect_b32 s9, -1, 0",182,182,0,0,""
9,6588,"s_cmp_lt_i32 s7, 0",182,182,0,0,""
9,6592,"s_cselect_b32 s7, -1, 0",182,364,182,0,""
9,6596,"s_ashr_i32 s11, s10, 31",182,364,182,0,""
9,6600,"s_and_b32 s7, s7, s9",182,364,182,0,""
9,6604,"s_lshr_b32 s11, s11, 30",182,182,0,0,""
9,6608,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6612,"s_add_co_i32 s11, s10, s11",182,182,0,546,""
9,6616,"s_and_b32 s9, s11, -4",182,182,0,182,""
9,6620,"s_ashr_i32 s13, s11, 2",182,182,0,0,""
9,6624,"s_cmp_lg_u32 s10, s9",182,182,0,0,""
9,6628,"s_cselect_b32 s9, -1, 0",182,182,0,0,""
9,6632,"s_cmp_lt_i32 s10, 0",182,182,0,0,""
9,6636,"s_cselect_b32 s11, -1, 0",182,182,0,0,""
9,6640,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6644,"s_and_b32 s9, s11, s9",182,182,0,182,""
9,6648,"s_sub_co_ci_u32 s11, s13, 0",182,182,0,0,""
9,6652,"s_ashr_i32 s14, s6, 31",182,182,0,0,""
9,6656,"s_lshr_b32 s14, s14, 30",182,182,0,182,""
9,6660,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6664,"s_add_co_i32 s14, s6, s14",182,182,0,182,""
