"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
1,6656,"; f4gemm_bf16_mxfp4_ABpreShuffle_256x256_4x4_batch_ps",0,0,0,0,""
1,6656,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",144,144,0,8786,""
1,6660,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",144,144,0,0,""
1,6668,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",144,144,0,1152,""
1,6676,"s_lshr_b32 s32, ttmp7, 16",144,144,0,1152,""
1,6680,"s_mul_hi_u32 s35, s32, s22",144,288,0,0,""
1,6684,"s_mul_i32 s34, s32, s23",144,288,0,0,""
1,6688,"s_add_co_u32 s35, s35, s34",144,144,0,0,""
1,6692,"s_mul_i32 s34, s32, s22",144,288,0,0,""
1,6696,"s_add_nc_u64 s[2:3], s[2:3], s[34:35]",144,144,0,0,""
1,6700,"s_mul_hi_u32 s35, s32, s24",144,288,0,0,""
1,6704,"s_mul_i32 s34, s32, s25",144,288,0,0,""
1,6708,"s_add_co_u32 s35, s35, s34",144,432,288,0,""
1,6712,"s_mul_i32 s34, s32, s24",144,432,144,0,""
1,6716,"s_add_nc_u64 s[4:5], s[4:5], s[34:35]",144,288,144,0,""
1,6720,"s_mul_hi_u32 s35, s32, s26",144,432,144,0,""
1,6724,"s_mul_i32 s34, s32, s27",144,432,144,0,""
1,6728,"s_add_co_u32 s35, s35, s34",144,288,144,0,""
1,6732,"s_mul_i32 s34, s32, s26",144,432,144,0,""
1,6736,"s_add_nc_u64 s[6:7], s[6:7], s[34:35]",144,288,144,0,""
1,6740,"s_mul_hi_u32 s35, s32, s28",144,432,144,0,""
1,6744,"s_mul_i32 s34, s32, s29",144,432,144,0,""
1,6748,"s_add_co_u32 s35, s35, s34",144,288,144,0,""
1,6752,"s_mul_i32 s34, s32, s28",144,432,144,0,""
1,6756,"s_add_nc_u64 s[8:9], s[8:9], s[34:35]",144,288,144,0,""
1,6760,"s_mul_hi_u32 s35, s32, s30",144,432,144,0,""
1,6764,"s_mul_i32 s34, s32, s31",144,432,144,0,""
1,6768,"s_add_co_u32 s35, s35, s34",144,288,144,0,""
1,6772,"s_mul_i32 s34, s32, s30",144,432,144,0,""
1,6776,"s_add_nc_u64 s[10:11], s[10:11], s[34:35]",144,288,144,0,""
1,6780,"s_mov_b32 s44, s2",144,288,144,0,""
1,6784,"s_mov_b32 s45, s3",144,288,144,0,""
1,6788,"s_bfe_u32 s22, ttmp8, 0x50019",144,288,144,0,""
1,6796,"s_cmp_eq_u32 s22, 0",144,144,0,144,""
1,6800,"s_cbranch_scc0 12",144,144,0,1728,""
1,6804,"s_getreg_b32 s24, hwreg(HW_REG_WAVE_MODE)",0,0,0,0,""
1,6808,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 24, 1), 1",0,0,0,0,""
1,6816,"s_getreg_b32 s24, hwreg(HW_REG_WAVE_MODE)",0,0,0,0,""
1,6820,"s_get_pc_i64 s[24:25]",0,0,0,0,""
1,6824,"s_mov_b32 s26, 31",0,0,0,0,""
1,6828,"s_prefetch_inst s[24:25], 0x7c00, s26, 0",0,0,0,0,""
1,6836,"s_prefetch_inst s[24:25], 0x8c00, s26, 0",0,0,0,0,""
1,6844,"s_prefetch_inst s[24:25], 0x9c00, s26, 0",0,0,0,0,""
1,6852,"s_wait_kmcnt 0x0",144,1296,1152,0,""
1,6856,"v_lshrrev_b32_e32 v1, 10, v0",144,144,0,0,""
1,6860,"v_lshrrev_b32_e32 v2, 10, v1",144,144,0,0,""
1,6864,"v_and_b32_e32 v0, 0x3ff, v0",144,144,0,0,""
1,6872,"v_and_b32_e32 v1, 0x3ff, v1",144,144,0,0,""
1,6880,"v_and_b32_e32 v2, 0x3ff, v2",144,144,0,0,""
1,6888,"v_lshrrev_b32_e32 v3, 5, v0",144,144,0,0,""
1,6892,"v_and_b32_e32 v0, 31, v0",144,144,0,0,""
1,6896,"v_readfirstlane_b32 s22, v3",144,144,0,0,""
1,6900,"s_bfe_u32 s22, ttmp8, 0x50019",144,144,0,3744,""
1,6908,"s_bfe_u32 s52, ttmp6, 0x40010",144,144,0,0,""
1,6916,"s_bfe_u32 s51, ttmp6, 0x4000c",144,144,0,0,""
1,6924,"s_bfe_u32 s50, ttmp6, 0x40004",144,144,0,0,""
1,6932,"s_bfe_u32 s49, ttmp6, 0x40000",144,144,0,0,""
1,6940,"s_add_co_i32 s52, s52, 1",144,144,0,0,""
