"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
9,6400,"; a8w4_tdm_fp4_t256x256x256_w2x2_b4_K7168_e96_act1_cn4_prefetch_wpt1",0,0,0,0,""
9,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",180,180,0,10499,""
9,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",180,180,0,1440,""
9,6416,"s_clause 0x1",180,1620,1440,0,""
9,6420,"s_load_b96 s[20:22], s[0:1], 0xa4 nv",180,180,0,0,""
9,6428,"s_load_b64 s[4:5], s[0:1], 0x70 nv",180,180,0,0,""
9,6436,"v_mov_b32_e32 v1, 0",180,180,0,0,""
9,6440,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",180,180,0,5814,""
9,6448,"s_wait_kmcnt 0x0",180,6007,5827,0,""
9,6452,"s_wait_alu depctr_va_vdst(0)",0,0,0,0,""
9,6456,"global_load_b32 v2, v1, s[4:5] offset:192",180,180,0,180,""
9,6468,"s_add_co_i32 s6, s21, 0xff",180,180,0,0,""
9,6476,"s_and_b32 s8, ttmp6, 15",180,180,0,0,""
9,6480,"s_ashr_i32 s7, s6, 31",180,180,0,0,""
9,6484,"s_lshl2_add_u32 s8, ttmp9, s8",180,180,0,0,""
9,6488,"s_lshr_b32 s7, s7, 24",180,180,0,0,""
9,6492,"v_readfirstlane_b32 s33, v0",180,180,0,1440,""
9,6496,"s_add_co_i32 s7, s6, s7",180,180,0,3060,""
9,6500,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
9,6504,"s_and_b32 s9, s7, 0xffffff00",180,180,0,180,""
9,6512,"s_ashr_i32 s7, s7, 8",180,180,0,0,""
9,6516,"s_cmp_lg_u32 s6, s9",180,180,0,0,""
9,6520,"s_cselect_b32 s9, -1, 0",180,180,0,0,""
9,6524,"s_cmp_lt_i32 s6, 0",180,180,0,0,""
9,6528,"s_cselect_b32 s6, -1, 0",180,180,0,0,""
9,6532,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6536,"s_and_b32 s6, s6, s9",180,180,0,180,""
9,6540,"s_sub_co_ci_u32 s6, s7, 0",180,180,0,0,""
9,6544,"s_add_co_i32 s7, s20, 0xff",180,180,0,0,""
9,6552,"s_ashr_i32 s9, s7, 31",180,180,0,180,""
9,6556,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6560,"s_lshr_b32 s9, s9, 24",180,180,0,180,""
9,6564,"s_add_co_i32 s9, s7, s9",180,180,0,180,""
9,6568,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
9,6572,"s_and_b32 s10, s9, 0xffffff00",180,180,0,180,""
9,6580,"s_ashr_i32 s9, s9, 8",180,180,0,0,""
9,6584,"s_cmp_lg_u32 s7, s10",180,180,0,0,""
9,6588,"s_cselect_b32 s10, -1, 0",180,180,0,0,""
9,6592,"s_cmp_lt_i32 s7, 0",180,180,0,0,""
9,6596,"s_cselect_b32 s7, -1, 0",180,180,0,180,""
9,6600,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6604,"s_and_b32 s7, s7, s10",180,180,0,720,""
9,6608,"s_sub_co_ci_u32 s7, s9, 0",180,180,0,0,""
9,6612,"s_ashr_i32 s9, s8, 31",180,180,0,0,""
9,6616,"s_lshr_b32 s9, s9, 30",180,180,0,180,""
9,6620,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6624,"s_add_co_i32 s9, s8, s9",180,180,0,180,""
9,6628,"s_and_b32 s10, s9, -4",180,180,0,180,""
9,6632,"s_ashr_i32 s12, s9, 2",180,180,0,0,""
9,6636,"s_cmp_lg_u32 s8, s10",180,180,0,0,""
9,6640,"s_cselect_b32 s9, -1, 0",180,180,0,0,""
9,6644,"s_cmp_lt_i32 s8, 0",180,180,0,0,""
9,6648,"s_cselect_b32 s10, -1, 0",180,180,0,0,""
9,6652,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6656,"s_and_b32 s10, s10, s9",180,180,0,720,""
9,6660,"s_sub_co_ci_u32 s9, s12, 0",180,180,0,0,""
9,6664,"s_ashr_i32 s11, s6, 31",180,180,0,0,""
9,6668,"s_lshr_b32 s11, s11, 30",180,180,0,180,""
9,6672,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6676,"s_add_co_i32 s11, s6, s11",180,180,0,180,""
9,6680,"s_and_b32 s13, s11, -4",180,180,0,180,""
9,6684,"s_ashr_i32 s11, s11, 2",180,180,0,0,""
9,6688,"s_cmp_lg_u32 s6, s13",180,180,0,0,""
9,6692,"s_cselect_b32 s13, -1, 0",180,180,0,0,""
9,6696,"s_cmp_lt_i32 s6, 0",180,180,0,0,""
9,6700,"s_cselect_b32 s6, -1, 0",180,180,0,0,""
9,6704,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_4) | instid1(SALU_CYCLE_1)",0,0,0,0,""
9,6708,"s_and_b32 s6, s6, s13",180,180,0,720,""
9,6712,"s_sub_co_ci_u32 s6, s11, 0",180,180,0,0,""
9,6716,"s_add_co_i32 s13, s7, 3",180,180,0,0,""
9,6720,"s_bfe_u32 s14, ttmp6, 0x40004",180,180,0,0,""
9,6728,"s_ashr_i32 s11, s13, 31",180,180,0,0,""
9,6732,"s_lshr_b32 s11, s11, 30",180,180,0,180,""
9,6736,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
9,6740,"s_add_co_i32 s15, s13, s11",180,180,0,180,""
9,6744,"s_lshl2_add_u32 s11, ttmp7, s14",180,180,0,0,""
9,6748,"s_and_b32 s14, s15, -4",180,180,0,0,""
9,6752,"s_ashr_i32 s15, s15, 2",180,180,0,0,""
9,6756,"s_cmp_lg_u32 s13, s14",180,180,0,0,""
9,6760,"s_cselect_b32 s13, -1, 0",180,180,0,0,""
9,6764,"s_cmp_lt_i32 s7, -3",180,360,180,0,""
9,6768,"s_cselect_b32 s7, -1, 0",180,360,180,0,""
9,6772,"s_lshl_b32 s14, s6, 2",180,180,0,0,""
9,6776,"s_abs_i32 s20, s9",180,180,0,0,""
9,6780,"s_abs_i32 s17, s14",180,180,0,0,""
9,6784,"s_and_b32 s7, s7, s13",180,180,0,0,""
9,6788,"s_cvt_f32_u32 s18, s17",180,720,180,0,""
9,6792,"s_sub_co_i32 s19, 0, s17",180,180,0,0,""
9,6796,"s_delay_alu instid0(SALU_CYCLE_2) | instskip(SKIP_1) | instid1(TRANS32_DEP_1)",0,0,0,0,""
9,6800,"v_rcp_iflag_f32_e32 v3, s18",180,360,0,360,""
9,6804,"v_nop",180,180,0,0,""
9,6808,"v_readfirstlane_b32 s18, v3",180,180,0,1080,""
