"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
25,6400,"; a8w4_tdm_fp4_t64x256x256_w1x4_b2_K7168_e96_act1_wpt4_loadonly",0,0,0,0,""
25,6400,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",61,61,0,7804,""
25,6408,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_MODE, 25, 1), 1",61,61,0,496,""
25,6416,"s_load_b96 s[48:50], s[0:1], 0xa4 nv",61,61,0,501,""
25,6424,"v_readfirstlane_b32 s20, v0",61,61,0,514,""
25,6428,"s_wait_kmcnt 0x0",61,5191,5130,0,""
25,6432,"s_add_co_i32 s4, s49, 0xff",61,61,0,247,""
25,6440,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
25,6444,"s_ashr_i32 s5, s4, 31",61,61,0,73,""
25,6448,"s_lshr_b32 s5, s5, 24",61,61,0,69,""
25,6452,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
25,6456,"s_add_co_i32 s5, s4, s5",61,61,0,61,""
25,6460,"s_and_b32 s6, s5, 0xffffff00",61,99,38,61,""
25,6468,"s_ashr_i32 s5, s5, 8",61,294,233,0,""
25,6472,"s_cmp_lg_u32 s4, s6",61,80,19,0,""
25,6476,"s_cselect_b32 s6, -1, 0",61,83,22,0,""
25,6480,"s_cmp_lt_i32 s4, 0",61,116,55,0,""
25,6484,"s_cselect_b32 s4, -1, 0",61,61,0,105,""
25,6488,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
25,6492,"s_and_b32 s4, s4, s6",61,164,103,70,""
25,6496,"s_sub_co_ci_u32 s4, s5, 0",61,101,40,0,""
25,6500,"s_add_co_i32 s5, s48, 63",61,61,0,15,""
25,6504,"s_ashr_i32 s6, s5, 31",61,61,0,113,""
25,6508,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
25,6512,"s_lshr_b32 s6, s6, 26",61,61,0,94,""
25,6516,"s_add_co_i32 s6, s5, s6",61,61,0,156,""
25,6520,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
25,6524,"s_and_b32 s7, s6, 0xffffffc0",61,191,130,69,""
25,6532,"s_ashr_i32 s6, s6, 6",61,92,31,0,""
25,6536,"s_cmp_lg_u32 s5, s7",61,75,14,0,""
25,6540,"s_cselect_b32 s7, -1, 0",61,74,13,0,""
25,6544,"s_cmp_lt_i32 s5, 0",61,63,2,0,""
25,6548,"s_getreg_b32 s5, hwreg(HW_REG_IB_STS2, 6, 4)",61,102,41,0,""
25,6552,"s_cselect_b32 s8, -1, 0",61,108,47,0,""
25,6556,"s_bfe_u32 s9, ttmp6, 0x4000c",61,113,52,0,""
25,6564,"s_and_b32 s11, ttmp6, 15",61,61,0,0,""
25,6568,"s_add_co_i32 s9, s9, 1",61,75,14,0,""
25,6572,"s_lshl_b32 s10, s4, 4",61,117,56,0,""
25,6576,"s_mul_i32 s9, ttmp9, s9",61,126,4,0,""
