"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
23,6400,"; moe_gemm1_mxfp4_ABpreShuffle_256x256_4x4_batch_ps_act1",0,0,0,0,""
23,6400,"s_version UC_VERSION_GFX12|UC_VERSION_W32_BIT",180,180,0,10841,""
23,6404,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 0, 2), 2",180,180,0,0,""
23,6412,"s_setreg_imm32_b32 hwreg(HW_REG_WAVE_SCHED_MODE, 2, 1), 1",180,180,0,1440,""
23,6420,"s_load_b64 s[4:5], s[0:1], 0x28 nv",180,180,0,1440,""
23,6428,"s_load_b64 s[6:7], s[0:1], 0x30 nv",180,180,0,0,""
23,6436,"s_load_b64 s[8:9], s[0:1], 0x38 nv",180,180,0,0,""
23,6444,"s_load_b64 s[10:11], s[0:1], 0x60 nv",180,180,0,0,""
23,6452,"s_load_b32 s102, s[0:1], 0xac nv",180,180,0,0,""
23,6460,"s_wait_kmcnt 0x0",180,9733,9553,0,""
23,6464,"s_xor_b32 s103, s102, 0x80000000",180,180,0,0,""
23,6472,"s_and_b32 s49, ttmp6, 15",180,180,0,0,""
23,6476,"s_bfe_u32 s48, ttmp6, 0x40004",180,180,0,0,""
23,6484,"s_mul_hi_u32 s35, ttmp9, 0xaaaaaaab",180,360,0,0,""
23,6492,"s_lshr_b32 s35, s35, 4",180,180,0,0,""
23,6496,"s_mul_i32 s46, s35, 24",180,360,0,0,""
23,6500,"s_sub_co_u32 s47, ttmp9, s46",180,180,0,0,""
23,6504,"s_lshr_b32 s54, s47, 2",180,180,0,0,""
23,6508,"s_lshl_b32 s54, s54, 2",180,180,0,0,""
23,6512,"s_add_co_u32 s54, s54, s49",180,180,0,0,""
23,6516,"s_and_b32 s34, s47, 3",180,360,180,0,""
23,6520,"s_lshl_b32 s34, s34, 2",180,360,180,0,""
23,6524,"s_lshl_b32 s55, s35, 4",180,540,360,0,""
23,6528,"s_add_co_u32 s55, s55, s34",180,360,180,0,""
23,6532,"s_add_co_u32 s55, s55, s48",180,360,180,0,""
23,6536,"s_lshr_b32 s32, s55, 2",180,360,180,0,""
23,6540,"s_cmp_ge_u32 s32, 0x60",180,180,0,180,""
23,6548,"s_cbranch_scc1 12418",180,180,0,2340,""
23,6552,"s_and_b32 s55, s55, 3",144,144,0,288,""
23,6556,"s_mul_i32 s34, s32, 0x600000",144,288,0,0,""
23,6564,"s_mov_b32 s35, 0",144,144,0,0,""
23,6568,"s_add_nc_u64 s[2:3], s[2:3], s[34:35]",144,144,0,0,""
23,6572,"s_mul_i32 s34, s32, 0x380000",144,288,0,0,""
23,6580,"s_add_nc_u64 s[4:5], s[4:5], s[34:35]",144,144,0,0,""
23,6584,"s_mul_i32 s34, s32, 0x1500000",144,288,0,0,""
