gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,512,4096,21,0,5.4049,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.78,194.57,0.0
gfx950,256,1,800,5120,29,0,8.5995,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,0.95,238.64,0.0
gfx950,256,1,1024,3072,21,0,5.7795,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.09,272.77,0.0
gfx950,256,1,1024,4096,29,0,6.7429,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1.24,311.62,0.0
gfx950,256,1,1280,8192,21,0,16.726,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.25,313.85,0.0
gfx950,256,1,1536,3072,29,0,6.5636,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1.44,360.15,0.0
gfx950,256,1,1536,7168,21,0,12.1915,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.81,452.09,0.0
gfx950,256,1,2048,6144,29,0,10.9087,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,2.31,577.39,0.0
gfx950,256,1,2048,7168,21,0,12.2956,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.39,597.59,0.0
gfx950,256,1,2112,7168,21,0,12.3647,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.45,612.81,0.0
gfx950,256,1,2304,16384,21,0,22.5794,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.34,836.48,0.0
gfx950,256,1,2560,8192,21,0,17.5745,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.39,597.17,0.0
gfx950,256,1,3072,1536,21,0,5.7648,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.64,410.46,0.0
gfx950,256,1,3072,6144,21,0,10.8323,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.48,872.06,0.0
gfx950,256,1,4096,1024,29,0,4.9501,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1.69,425.42,0.0
gfx950,256,1,4096,4096,21,0,8.4223,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.98,997.22,0.0
gfx950,256,1,4096,8192,21,0,12.3973,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.41,1354.29,0.0
gfx950,256,1,4096,14336,21,0,20.9628,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.6,1401.32,0.0
gfx950,256,1,4608,16384,21,0,24.1342,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.26,1564.84,0.0
gfx950,256,1,5120,1280,29,0,6.2868,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,2.08,522.95,0.0
gfx950,256,1,5120,5120,21,0,10.3166,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.08,1271.74,0.0
gfx950,256,1,5120,6400,21,0,13.1399,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.99,1247.91,0.0
gfx950,256,1,5120,25600,21,0,35.9675,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,7.29,1822.73,0.0
gfx950,256,1,6144,2048,29,0,6.2966,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,4.0,1001.3,0.0
gfx950,256,1,6144,3072,21,0,7.0757,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.33,1335.7,0.0
gfx950,256,1,6144,4096,21,0,8.4464,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.96,1491.43,0.0
gfx950,256,1,6144,12288,21,0,18.4152,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.2,2050.87,0.0
gfx950,256,1,6144,16384,21,0,24.3831,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.26,2065.04,0.0
gfx950,256,1,6400,5120,29,0,12.2475,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,5.35,1339.0,0.0
gfx950,256,1,7168,2048,29,0,6.3797,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,4.6,1152.94,0.0
gfx950,256,1,7168,8192,21,0,13.6832,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.58,2147.05,0.0
gfx950,256,1,7168,16384,21,0,24.8921,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,9.44,2359.9,0.0
gfx950,256,1,7168,18432,21,0,27.4078,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,9.64,2411.13,0.0
gfx950,256,1,8192,1024,21,0,5.9074,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.84,712.87,0.0
gfx950,256,1,8192,2048,21,0,6.6356,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.06,1266.81,0.0
gfx950,256,1,8192,3584,21,0,8.4146,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.98,1746.75,0.0
gfx950,256,1,8192,4096,37,0,8.8326,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,7.6,1901.55,0.0
gfx950,256,1,8192,7168,42,0,17.189,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,6.83,1709.24,0.0
gfx950,256,1,8192,8192,21,0,14.1316,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,9.5,2375.87,0.0
gfx950,256,1,8192,28672,21,0,43.2883,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.85,2713.69,0.0
gfx950,256,1,9216,16384,21,0,26.0135,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,11.61,2903.27,0.0
gfx950,256,1,10240,8192,21,0,14.6562,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,11.45,2863.47,0.0
gfx950,256,1,12288,512,29,0,4.3707,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,2.88,725.41,0.0
gfx950,256,1,12288,1536,29,0,5.8524,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,6.45,1616.86,0.0
gfx950,256,1,12288,4096,21,0,9.5064,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.59,2650.05,0.0
gfx950,256,1,12288,6144,21,0,12.76,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,11.83,2960.53,0.0
gfx950,256,1,12800,5120,21,0,14.2687,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,9.19,2298.47,0.0
gfx950,256,1,13312,16384,21,0,33.2284,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,13.13,3282.94,0.0
gfx950,256,1,14336,8192,37,0,17.338,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,13.55,3388.69,0.0
gfx950,256,1,16384,512,29,0,4.4281,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,3.79,954.66,0.0
gfx950,256,1,16384,2048,37,0,6.2861,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,10.68,2674.31,0.0
gfx950,256,1,16384,4096,21,0,11.8228,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,11.35,2841.06,0.0
gfx950,256,1,16384,6656,37,0,15.0912,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,14.45,3615.49,0.0
gfx950,256,1,16384,8192,29,0,19.807,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,13.55,3390.0,0.0
gfx950,256,1,16384,13312,21,0,24.7664,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,17.61,4404.81,0.0
gfx950,256,1,16384,16384,29,0,29.8545,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,17.98,4497.1,0.0
gfx950,256,1,16384,26624,29,0,47.945,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,18.2,4550.0,0.0
gfx950,256,1,16384,53248,21,0,85.9036,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,20.31,5078.56,0.0
gfx950,256,1,18432,7168,21,0,14.9154,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,17.72,4431.71,0.0
gfx950,256,1,18432,16384,0,0,48.5148,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,12.45,3113.28,0.0
gfx950,256,1,20480,16384,21,0,34.0333,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,19.72,4931.09,0.0
gfx950,256,1,24576,1536,21,0,6.1017,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,12.37,3101.48,0.0
gfx950,256,1,26624,16384,46,0,44.6996,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x128E,19.52,4880.7,0.0
gfx950,256,1,28672,4096,21,0,14.0433,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.73,4185.6,0.0
gfx950,256,1,32768,512,29,0,5.0283,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,6.67,1681.36,0.0
gfx950,256,1,51200,5120,14,0,23.3643,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,22.44,5614.42,0.0
gfx950,256,1,53248,16384,0,0,73.6484,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,23.69,5924.4,0.0
gfx950,256,1,57344,8192,14,0,44.7024,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,21.02,5256.98,0.0
gfx950,256,1,59136,8192,14,0,46.5332,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,20.82,5207.97,0.0
gfx950,256,1,106496,16384,3,0,145.2761,a4w4_blockscale_256x64x512x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,24.02,6006.74,0.0
gfx950,256,2,512,4096,21,0,5.4335,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.54,194.11,0.0
gfx950,256,2,1024,3072,21,0,5.8351,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.16,270.78,0.0
gfx950,256,2,1024,4096,29,0,6.8239,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,2.46,308.53,0.0
gfx950,256,2,1536,3072,29,0,6.3888,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,2.95,370.73,0.0
gfx950,256,2,1536,7168,21,0,12.3332,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.57,447.44,0.0
gfx950,256,2,2048,6144,21,0,10.8043,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.66,583.64,0.0
gfx950,256,2,2048,7168,21,0,12.4844,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.7,589.17,0.0
gfx950,256,2,3072,1536,21,0,5.8068,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.25,408.68,0.0
gfx950,256,2,3072,6144,21,0,10.7991,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.99,875.59,0.0
gfx950,256,2,4096,1024,29,0,5.0164,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,3.34,421.53,0.0
gfx950,256,2,4096,4096,21,0,9.4735,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,7.08,887.64,0.0
gfx950,256,2,4096,8192,21,0,12.6033,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.65,1333.13,0.0
gfx950,256,2,4096,14336,21,0,21.0437,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,11.16,1396.66,0.0
gfx950,256,2,6144,2048,21,0,6.2664,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.03,1008.25,0.0
gfx950,256,2,6144,3072,21,0,7.4379,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.15,1272.51,0.0
gfx950,256,2,6144,4096,21,0,9.2767,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.85,1359.49,0.0
gfx950,256,2,6144,12288,21,0,18.5205,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.31,2040.2,0.0
gfx950,256,2,6144,16384,21,0,24.4987,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.44,2056.13,0.0
gfx950,256,2,7168,2048,21,0,6.2888,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,9.34,1172.04,0.0
gfx950,256,2,7168,8192,21,0,13.8337,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.98,2125.03,0.0
gfx950,256,2,7168,16384,21,0,25.1389,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,18.69,2337.62,0.0
