gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2048,3072,ck,8,2,4.8294,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.61,1304.22,0.0
gfx950,256,2,2048,3072,ck,8,2,4.9071,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.13,1285.03,0.0
gfx950,256,4,2048,3072,ck,8,2,5.9936,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.4,1054.48,0.0
gfx950,256,8,2048,3072,cktile,20,3,8.9575,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,11.24,708.77,0.0001
gfx950,256,16,2048,3072,cktile,20,3,8.6089,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,23.39,744.13,0.0
gfx950,256,24,2048,3072,ck,8,2,6.0144,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.21,1074.67,0.0
gfx950,256,32,2048,3072,ck,8,2,9.5458,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,42.18,683.11,0.0
gfx950,256,40,2048,3072,ck,8,2,8.0565,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,62.47,816.51,0.0
gfx950,256,48,2048,3072,ck,8,2,8.9613,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,67.4,740.46,0.0
gfx950,256,56,2048,3072,ck,8,2,10.4801,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,67.24,638.63,0.0
gfx950,256,64,2048,3072,ck,8,2,8.3314,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,96.66,810.21,0.0
gfx950,256,72,2048,3072,ck,8,2,9.3523,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,96.87,727.9,0.0
gfx950,256,80,2048,3072,ck,8,2,11.48,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,87.69,597.99,0.0
gfx950,256,88,2048,3072,ck,8,2,9.9392,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,111.41,696.46,0.0
