M,N,K
16, 1536, 7168
16, 576, 7168
16, 7168, 256
16, 4608, 7168
16, 7168, 2304
16, 512, 7168
32, 1536, 7168
32, 576, 7168
32, 7168, 256
32, 4608, 7168
32, 7168, 2304
32, 512, 7168
64, 1536, 7168
64, 576, 7168
64, 7168, 256
64, 4608, 7168
64, 7168, 2304
64, 512, 7168
128, 1536, 7168
128, 576, 7168
128, 7168, 256
128, 4608, 7168
128, 7168, 2304
128, 512, 7168
128, 4096, 1280
128, 1024, 4096
256, 1536, 7168
256, 576, 7168
256, 7168, 256
256, 4608, 7168
256, 7168, 2304
256, 512, 7168
512, 1536, 7168
512, 576, 7168
512, 7168, 256
512, 4608, 7168
512, 7168, 2304
512, 512, 7168
1024, 1536, 7168
1024, 576, 7168
1024, 7168, 256
1024, 4608, 7168
1024, 7168, 2304
1024, 512, 7168
1536, 1536, 7168
1536, 576, 7168
1536, 7168, 256
1536, 4608, 7168
1536, 7168, 2304
1536, 512, 7168
2048, 1536, 7168
2048, 576, 7168
2048, 7168, 256
2048, 4608, 7168
2048, 7168, 2304
2048, 512, 7168
4096, 1536, 7168
4096, 576, 7168
4096, 7168, 256
4096, 4608, 7168
4096, 7168, 2304
4096, 512, 7168
8192, 1536, 7168
8192, 576, 7168
8192, 7168, 256
8192, 4608, 7168
8192, 7168, 2304
8192, 512, 7168
16384, 1536, 7168
16384, 576, 7168
16384, 7168, 256
16384, 4608, 7168
16384, 7168, 2304
16384, 512, 7168
20480, 1536, 7168
20480, 576, 7168
20480, 7168, 256
20480, 4608, 7168
20480, 7168, 2304
20480, 512, 7168
