gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1280,4096,ck,7,0,12.9489,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.81,405.4,0.0
gfx950,256,2,1280,4096,ck,7,0,13.0111,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.61,403.98,0.0
gfx950,256,4,1280,4096,ck,7,0,12.855,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.26,409.92,0.0
gfx950,256,8,1280,4096,ck,7,0,13.1195,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.39,403.68,0.0
gfx950,256,16,1280,4096,ck,7,0,12.1515,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.81,440.22,0.0
gfx950,256,32,1280,4096,ck,7,0,12.0636,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.81,452.26,0.0
gfx950,256,64,1280,4096,ck,7,0,11.9591,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,56.12,474.02,0.0
gfx950,256,128,1280,4096,ck,7,0,11.795,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,113.79,516.73,0.0
gfx950,256,256,1280,4096,ck,12,0,12.6183,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,212.74,550.54,0.0
gfx950,256,512,1280,4096,ck,17,0,14.6566,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,366.3,590.23,0.0
gfx950,256,1024,1280,4096,ck,17,0,21.4933,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,499.57,561.04,0.0
gfx950,256,2048,1280,4096,ck,14,0,30.3452,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,707.68,621.99,0.0001
gfx950,256,4096,1280,4096,ck,13,0,43.6628,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,983.67,744.47,0.0
gfx950,256,8192,1280,4096,cktile,26,0,60.8285,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1412.16,982.58,0.0
gfx950,256,16384,1280,4096,cktile,11,0,129.3201,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1328.48,883.81,0.0
gfx950,256,32768,1280,4096,cktile,11,0,245.7508,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1398.15,908.83,0.0
gfx950,256,1,2304,4096,ck,7,0,12.8681,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.47,734.05,0.0
gfx950,256,2,2304,4096,ck,7,0,12.9331,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.92,731.04,0.0
gfx950,256,4,2304,4096,ck,7,0,12.8197,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.89,738.86,0.0
gfx950,256,8,2304,4096,ck,7,0,12.8411,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.76,740.34,0.0
gfx950,256,16,2304,4096,ck,7,0,11.8579,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.47,807.6,0.0
gfx950,256,32,2304,4096,ck,7,0,11.9991,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.34,809.7,0.0
gfx950,256,64,2304,4096,ck,7,0,12.0375,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,100.35,830.26,0.0
gfx950,256,128,2304,4096,ck,12,0,12.7292,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,189.79,828.9,0.0
gfx950,256,256,2304,4096,ck,17,0,14.8289,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,325.84,786.67,0.0
gfx950,256,512,2304,4096,ck,17,0,21.0801,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,458.43,659.09,0.0
