M,N,K
1,3072,1536
1,4096,512
1,7168,2048
1,4608,7168
1,7168,2304
1,128,7168
1,2112,7168
1,2240,7168
1,8192,1536
1,11264,1536
1,6144,1536
1,8192,512
1,7168,4096
1,9216,7168
1,7168,4608
1,14336,1536
2,3072,1536
2,4096,512
2,7168,2048
2,4608,7168
2,7168,2304
2,128,7168
2,2112,7168
2,2240,7168
2,8192,1536
2,11264,1536
2,6144,1536
2,8192,512
2,7168,4096
2,9216,7168
2,7168,4608
2,14336,1536
4,3072,1536
4,4096,512
4,7168,2048
4,4608,7168
4,7168,2304
4,128,7168
4,2112,7168
4,2240,7168
4,8192,1536
4,11264,1536
4,6144,1536
4,8192,512
4,7168,4096
4,9216,7168
4,7168,4608
4,14336,1536
8,3072,1536
8,4096,512
8,7168,2048
8,4608,7168
8,7168,2304
8,128,7168
8,2112,7168
8,2240,7168
8,8192,1536
8,11264,1536
8,6144,1536
8,8192,512
8,7168,4096
8,9216,7168
8,7168,4608
8,14336,1536
16,3072,1536
16,4096,512
16,7168,2048
16,4608,7168
16,7168,2304
16,128,7168
16,2112,7168
16,2240,7168
16,8192,1536
16,11264,1536
16,6144,1536
16,8192,512
16,7168,4096
16,9216,7168
16,7168,4608
16,14336,1536
32,3072,1536
32,4096,512
32,7168,2048
32,4608,7168
32,7168,2304
32,128,7168
32,2112,7168
32,2240,7168
32,8192,1536
32,11264,1536
32,6144,1536
32,8192,512
32,7168,4096
32,9216,7168
32,7168,4608
32,14336,1536
48,3072,1536
48,4096,512
48,7168,2048
48,4608,7168
48,7168,2304
48,128,7168
48,2112,7168
48,2240,7168
48,8192,1536
48,11264,1536
64,3072,1536
64,4096,512
64,7168,2048
64,4608,7168
64,7168,2304
64,128,7168
64,2112,7168
64,2240,7168
64,8192,1536
64,11264,1536
64,6144,1536
64,8192,512
64,7168,4096
64,9216,7168
64,7168,4608
64,14336,1536
80,3072,1536
80,4096,512
80,7168,2048
80,4608,7168
80,7168,2304
80,128,7168
80,2112,7168
