M,N,K
1,16,4096
2,16,4096
4,16,4096
8,16,4096
16,16,4096
32,16,4096
64,16,4096
128,16,4096
256,16,4096
512,16,4096
1024,16,4096
2048,16,4096
4096,16,4096
8192,16,4096
16384,16,4096
32768,16,4096
1,32,4096
2,32,4096
4,32,4096
8,32,4096
16,32,4096
32,32,4096
64,32,4096
128,32,4096
256,32,4096
512,32,4096
1024,32,4096
2048,32,4096
4096,32,4096
8192,32,4096
16384,32,4096
32768,32,4096
1,256,512
2,256,512
4,256,512
8,256,512
16,256,512
32,256,512
64,256,512
128,256,512
256,256,512
512,256,512
1024,256,512
2048,256,512
4096,256,512
8192,256,512
16384,256,512
32768,256,512
1,512,256
1,512,512
1,512,1024
1,512,2048
2,512,256
2,512,512
2,512,1024
2,512,2048
4,512,256
4,512,512
4,512,1024
4,512,2048
8,512,256
8,512,512
8,512,1024
8,512,2048
16,512,256
16,512,512
16,512,1024
16,512,2048
32,512,256
32,512,512
32,512,1024
32,512,2048
64,512,256
64,512,512
64,512,1024
64,512,2048
128,512,256
128,512,512
128,512,1024
128,512,2048
256,512,256
256,512,512
256,512,1024
256,512,2048
512,512,256
512,512,512
512,512,1024
512,512,2048
1024,512,256
1024,512,512
1024,512,1024
1024,512,2048
2048,512,256
2048,512,512
2048,512,1024
2048,512,2048
4096,512,256
4096,512,512
4096,512,1024
4096,512,2048
8192,512,256
8192,512,512
8192,512,1024
8192,512,2048
16384,512,256
16384,512,512
16384,512,1024
16384,512,2048
32768,512,256
32768,512,512
32768,512,1024
32768,512,2048
1,1024,256
1,1024,512
1,1024,1024
1,1024,2048
1,1024,4096
2,1024,256
2,1024,512
2,1024,1024
2,1024,2048
2,1024,4096
4,1024,256
4,1024,512
4,1024,1024
4,1024,2048
4,1024,4096
8,1024,256
8,1024,512
8,1024,1024
8,1024,2048
8,1024,4096
16,1024,256
16,1024,512
16,1024,1024
16,1024,2048
16,1024,4096
32,1024,256
32,1024,512
32,1024,1024
32,1024,2048
32,1024,4096
64,1024,256
64,1024,512
64,1024,1024
64,1024,2048
64,1024,4096
128,1024,256
128,1024,512
128,1024,1024
128,1024,2048
128,1024,4096
256,1024,256
256,1024,512
256,1024,1024
256,1024,2048
256,1024,4096
512,1024,256
512,1024,512
512,1024,1024
512,1024,2048
512,1024,4096
1024,1024,256
1024,1024,512
1024,1024,1024
1024,1024,2048
1024,1024,4096
2048,1024,256
2048,1024,512
2048,1024,1024
2048,1024,2048
2048,1024,4096
4096,1024,256
4096,1024,512
4096,1024,1024
4096,1024,2048
4096,1024,4096
8192,1024,256
8192,1024,512
8192,1024,1024
8192,1024,2048
8192,1024,4096
16384,1024,256
16384,1024,512
16384,1024,1024
16384,1024,2048
16384,1024,4096
32768,1024,256
32768,1024,512
32768,1024,1024
32768,1024,2048
32768,1024,4096
1,1152,2048
2,1152,2048
4,1152,2048
8,1152,2048
16,1152,2048
32,1152,2048
64,1152,2048
128,1152,2048
256,1152,2048
512,1152,2048
1024,1152,2048
2048,1152,2048
4096,1152,2048
8192,1152,2048
16384,1152,2048
32768,1152,2048
1,1536,2048
2,1536,2048
4,1536,2048
8,1536,2048
16,1536,2048
32,1536,2048
64,1536,2048
128,1536,2048
256,1536,2048
512,1536,2048
1024,1536,2048
2048,1536,2048
4096,1536,2048
8192,1536,2048
16384,1536,2048
32768,1536,2048
1,2048,512
1,2048,1024
1,2048,2048
1,2048,4096
2,2048,512
2,2048,1024
2,2048,2048
2,2048,4096
4,2048,512
4,2048,1024
4,2048,2048
4,2048,4096
8,2048,512
8,2048,1024
8,2048,2048
8,2048,4096
16,2048,512
16,2048,1024
16,2048,2048
16,2048,4096
32,2048,512
32,2048,1024
32,2048,2048
32,2048,4096
64,2048,512
64,2048,1024
64,2048,2048
64,2048,4096
128,2048,512
128,2048,1024
128,2048,2048
128,2048,4096
256,2048,512
256,2048,1024
256,2048,2048
256,2048,4096
512,2048,512
512,2048,1024
512,2048,2048
512,2048,4096
1024,2048,512
1024,2048,1024
1024,2048,2048
1024,2048,4096
2048,2048,512
2048,2048,1024
2048,2048,2048
2048,2048,4096
4096,2048,512
4096,2048,1024
4096,2048,2048
4096,2048,4096
8192,2048,512
8192,2048,1024
8192,2048,2048
8192,2048,4096
16384,2048,512
16384,2048,1024
16384,2048,2048
16384,2048,4096
32768,2048,512
32768,2048,1024
32768,2048,2048
32768,2048,4096
1,2176,4096
2,2176,4096
4,2176,4096
8,2176,4096
16,2176,4096
32,2176,4096
64,2176,4096
128,2176,4096
256,2176,4096
512,2176,4096
1024,2176,4096
2048,2176,4096
4096,2176,4096
8192,2176,4096
16384,2176,4096
32768,2176,4096
1,2304,2048
2,2304,2048
4,2304,2048
8,2304,2048
16,2304,2048
32,2304,2048
64,2304,2048
128,2304,2048
256,2304,2048
512,2304,2048
1024,2304,2048
2048,2304,2048
4096,2304,2048
8192,2304,2048
16384,2304,2048
32768,2304,2048
1,2560,4096
2,2560,4096
4,2560,4096
8,2560,4096
16,2560,4096
32,2560,4096
64,2560,4096
128,2560,4096
256,2560,4096
512,2560,4096
1024,2560,4096
2048,2560,4096
4096,2560,4096
8192,2560,4096
16384,2560,4096
32768,2560,4096
1,3072,2048
2,3072,2048
4,3072,2048
8,3072,2048
16,3072,2048
32,3072,2048
64,3072,2048
128,3072,2048
256,3072,2048
512,3072,2048
1024,3072,2048
2048,3072,2048
4096,3072,2048
8192,3072,2048
16384,3072,2048
32768,3072,2048
1,4096,1024
1,4096,2048
2,4096,1024
2,4096,2048
4,4096,1024
4,4096,2048
8,4096,1024
8,4096,2048
16,4096,1024
16,4096,2048
32,4096,1024
32,4096,2048
64,4096,1024
64,4096,2048
128,4096,1024
128,4096,2048
256,4096,1024
256,4096,2048
512,4096,1024
512,4096,2048
1024,4096,1024
1024,4096,2048
2048,4096,1024
2048,4096,2048
4096,4096,1024
4096,4096,2048
8192,4096,1024
8192,4096,2048
16384,4096,1024
16384,4096,2048
32768,4096,1024
32768,4096,2048
1,4352,4096
2,4352,4096
4,4352,4096
8,4352,4096
16,4352,4096
32,4352,4096
64,4352,4096
128,4352,4096
256,4352,4096
512,4352,4096
1024,4352,4096
2048,4352,4096
4096,4352,4096
8192,4352,4096
16384,4352,4096
32768,4352,4096
1,4608,2048
1,4608,4096
2,4608,2048
2,4608,4096
4,4608,2048
4,4608,4096
8,4608,2048
8,4608,4096
16,4608,2048
16,4608,4096
32,4608,2048
32,4608,4096
64,4608,2048
64,4608,4096
128,4608,2048
128,4608,4096
256,4608,2048
256,4608,4096
512,4608,2048
512,4608,4096
1024,4608,2048
1024,4608,4096
2048,4608,2048
2048,4608,4096
4096,4608,2048
4096,4608,4096
8192,4608,2048
8192,4608,4096
16384,4608,2048
16384,4608,4096
32768,4608,2048
32768,4608,4096
1,5120,4096
2,5120,4096
4,5120,4096
8,5120,4096
16,5120,4096
32,5120,4096
64,5120,4096
128,5120,4096
256,5120,4096
512,5120,4096
1024,5120,4096
2048,5120,4096
4096,5120,4096
8192,5120,4096
16384,5120,4096
32768,5120,4096
1,6144,2048
2,6144,2048
4,6144,2048
8,6144,2048
16,6144,2048
32,6144,2048
64,6144,2048
128,6144,2048
256,6144,2048
512,6144,2048
1024,6144,2048
2048,6144,2048
4096,6144,2048
8192,6144,2048
16384,6144,2048
32768,6144,2048
1,8704,4096
2,8704,4096
4,8704,4096
8,8704,4096
16,8704,4096
32,8704,4096
64,8704,4096
128,8704,4096
256,8704,4096
512,8704,4096
1024,8704,4096
2048,8704,4096
4096,8704,4096
8192,8704,4096
16384,8704,4096
32768,8704,4096
1,9216,2048
2,9216,2048
4,9216,2048
8,9216,2048
16,9216,2048
32,9216,2048
64,9216,2048
128,9216,2048
256,9216,2048
512,9216,2048
1024,9216,2048
2048,9216,2048
4096,9216,2048
8192,9216,2048
16384,9216,2048
32768,9216,2048
1,10240,4096
2,10240,4096
4,10240,4096
8,10240,4096
16,10240,4096
32,10240,4096
64,10240,4096
128,10240,4096
256,10240,4096
512,10240,4096
1024,10240,4096
2048,10240,4096
4096,10240,4096
8192,10240,4096
16384,10240,4096
32768,10240,4096
1,12288,2048
2,12288,2048
4,12288,2048
8,12288,2048
16,12288,2048
32,12288,2048
64,12288,2048
128,12288,2048
256,12288,2048
512,12288,2048
1024,12288,2048
2048,12288,2048
4096,12288,2048
8192,12288,2048
16384,12288,2048
32768,12288,2048
1,17408,4096
2,17408,4096
4,17408,4096
8,17408,4096
16,17408,4096
32,17408,4096
64,17408,4096
128,17408,4096
256,17408,4096
512,17408,4096
1024,17408,4096
2048,17408,4096
4096,17408,4096
8192,17408,4096
16384,17408,4096
32768,17408,4096
1,20480,4096
2,20480,4096
4,20480,4096
8,20480,4096
16,20480,4096
32,20480,4096
64,20480,4096
128,20480,4096
256,20480,4096
512,20480,4096
1024,20480,4096
2048,20480,4096
4096,20480,4096
8192,20480,4096
16384,20480,4096
32768,20480,4096
