gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,16,5120,3072,ck,8,0,11.7513,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,42.83,1356.58,0.0
gfx942,304,16,5120,8704,ck,8,0,28.8396,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.45,1555.76,0.0
gfx942,304,32,5120,3072,ck,8,0,11.6798,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,86.19,1383.13,0.0
gfx942,304,32,5120,8704,ck,8,0,29.1622,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,97.8,1548.95,0.0
gfx942,304,48,5120,3072,ck,8,0,11.7135,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,128.91,1397.33,0.0
gfx942,304,48,5120,8704,ck,8,0,30.5498,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,140.04,1488.51,0.0
gfx942,304,64,5120,3072,ck,13,0,14.8882,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,135.23,1113.67,0.0
gfx942,304,64,5120,8704,ck,18,0,36.2581,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,157.32,1262.53,0.0
gfx942,304,80,5120,3072,ck,13,0,15.1636,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,165.96,1107.49,0.0
gfx942,304,80,5120,8704,ck,13,0,40.0102,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,178.21,1151.71,0.0
gfx942,304,96,5120,3072,ck,13,0,14.9291,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,202.28,1139.16,0.0
gfx942,304,96,5120,8704,ck,13,0,39.8941,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,214.48,1162.66,0.0
gfx942,304,112,5120,3072,ck,18,0,15.9311,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,221.15,1080.88,0.0
gfx942,304,112,5120,8704,ck,18,0,43.9761,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,227.0,1061.63,0.0
gfx942,304,128,5120,3072,ck,18,0,15.6645,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,257.05,1112.87,0.0
gfx942,304,128,5120,8704,ck,18,0,39.1285,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,291.57,1200.9,0.0
gfx942,304,144,5120,3072,ck,18,0,19.5002,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,232.3,904.89,0.0
gfx942,304,144,5120,8704,ck,18,0,50.0851,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,256.26,944.24,0.0
gfx942,304,160,5120,3072,ck,18,0,19.8236,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,253.9,900.87,0.0
gfx942,304,160,5120,8704,ck,18,0,52.5029,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,271.62,906.53,0.0
gfx942,304,176,5120,3072,ck,18,0,21.2602,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,260.42,850.02,0.0
gfx942,304,176,5120,8704,ck,18,0,51.8451,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,302.57,923.88,0.0
gfx942,304,192,5120,3072,ck,18,0,19.0729,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,316.67,958.67,0.0
gfx942,304,192,5120,8704,ck,18,0,48.6315,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,351.89,991.16,0.0
gfx942,304,208,5120,3072,ck,12,0,24.6839,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,265.08,749.38,0.0
gfx942,304,208,5120,8704,ck,3,0,61.1199,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,303.32,793.6,0.0
gfx942,304,224,5120,3072,ck,12,0,23.4373,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,300.65,798.32,0.0
gfx942,304,224,5120,8704,ck,12,0,60.275,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,331.23,809.75,0.0
gfx942,304,240,5120,3072,ck,3,0,25.804,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,292.58,733.36,0.0
gfx942,304,240,5120,8704,ck,3,0,61.9273,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,345.42,793.04,0.0
gfx942,304,256,5120,3072,ck,3,0,25.5844,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,314.76,747.98,0.0
gfx942,304,256,5120,8704,ck,3,0,63.066,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,361.8,783.53,0.0
gfx942,304,288,5120,3072,ck,2,0,28.3699,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,319.34,689.55,0.0
gfx942,304,288,5120,8704,ck,3,0,70.4269,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,364.48,710.24,0.0
gfx942,304,320,5120,3072,ck,2,0,30.7371,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,327.5,650.3,0.0
gfx942,304,320,5120,8704,ck,3,0,77.8832,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,366.21,650.03,0.0
gfx942,304,352,5120,3072,ck,2,0,30.4874,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,363.2,669.6,0.0
gfx942,304,352,5120,8704,ck,2,0,75.5116,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,415.48,678.48,0.0
gfx942,304,384,5120,3072,ck,18,0,33.3358,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,362.36,625.17,0.0
gfx942,304,384,5120,8704,ck,3,0,83.3775,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,410.49,621.74,0.0
gfx942,304,416,5120,3072,ck,2,0,32.4971,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,402.69,654.41,0.0
gfx942,304,416,5120,8704,ck,3,0,76.6739,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,483.58,684.0,0.0
gfx942,304,448,5120,3072,ck,2,0,34.1522,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,412.65,635.17,0.0
gfx942,304,448,5120,8704,ck,3,0,78.4129,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,509.22,676.56,0.0
gfx942,304,480,5120,3072,ck,0,0,41.5333,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,363.55,532.55,0.0
gfx942,304,480,5120,8704,ck,0,0,102.7973,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,416.18,521.97,0.0
gfx942,304,512,5120,3072,ck,2,0,43.9061,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,366.83,513.47,0.0
gfx942,304,512,5120,8704,ck,1,0,108.8021,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,419.42,498.74,0.0
gfx942,304,544,5120,3072,ck,0,0,41.3147,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,414.21,555.99,0.0
gfx942,304,544,5120,8704,ck,0,0,103.0273,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,470.61,532.58,0.0
gfx942,304,576,5120,3072,ck,0,0,41.8881,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,432.57,558.54,0.0
gfx942,304,576,5120,8704,ck,0,0,104.3784,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,491.85,531.49,0.0
gfx942,304,608,5120,3072,ck,0,0,44.3921,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,430.84,536.63,0.0
gfx942,304,608,5120,8704,ck,0,0,111.889,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,484.32,501.23,0.0
gfx942,304,640,5120,3072,ck,0,0,47.4328,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,424.45,511.21,0.0
gfx942,304,640,5120,8704,ck,3,0,113.2757,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,503.57,500.45,0.0
gfx942,304,672,5120,3072,ck,0,0,43.2014,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,489.32,571.15,0.0
gfx942,304,672,5120,8704,ck,0,0,106.1661,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,564.16,539.67,0.0
gfx942,304,704,5120,3072,ck,0,0,45.4347,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,487.42,552.45,0.0
gfx942,304,704,5120,8704,ck,0,0,109.3432,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,573.85,529.54,0.0
gfx942,304,736,5120,3072,ck,0,0,46.1373,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,501.82,553.27,0.0
gfx942,304,736,5120,8704,ck,0,0,112.6531,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,582.31,519.36,0.0
gfx942,304,768,5120,3072,ck,2,0,48.7952,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,495.11,531.86,0.0
gfx942,304,768,5120,8704,ck,0,0,121.9892,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,561.12,484.58,0.0
gfx942,304,800,5120,3072,ck,0,0,47.0114,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,535.31,561.1,0.0
gfx942,304,800,5120,8704,ck,0,0,110.9452,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,642.69,538.28,0.0
gfx942,304,832,5120,3072,ck,0,0,47.0662,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,556.08,569.5,0.0
gfx942,304,832,5120,8704,ck,0,0,113.0672,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,655.85,533.54,0.0
gfx942,304,864,5120,3072,ck,0,0,49.3989,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,550.2,551.23,0.0
gfx942,304,864,5120,8704,ck,0,0,116.8101,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,659.25,521.63,0.0
gfx942,304,896,5120,3072,ck,0,0,51.2561,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,549.9,539.57,0.0
gfx942,304,896,5120,8704,ck,0,0,126.5973,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,630.82,486.09,0.0
gfx942,304,928,5120,3072,ck,2,0,57.6184,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,506.65,487.38,0.0
gfx942,304,928,5120,8704,ck,2,0,142.5819,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,580.1,435.85,0.0
gfx942,304,960,5120,3072,ck,2,0,58.7311,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,514.19,485.4,0.0
gfx942,304,960,5120,8704,ck,2,0,148.2198,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,577.28,423.36,0.0
gfx942,304,992,5120,3072,ck,0,0,62.3561,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,500.44,464.01,0.0
gfx942,304,992,5120,8704,ck,0,0,150.9271,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,585.82,419.78,0.0
gfx942,304,1024,5120,3072,ck,0,0,66.5029,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,484.37,441.49,0.0
gfx942,304,1024,5120,8704,ck,0,0,162.2238,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,562.61,394.29,0.0
gfx942,304,1088,5120,3072,ck,0,0,69.2227,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,494.43,436.45,0.0
gfx942,304,1088,5120,8704,ck,0,0,161.4594,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,600.6,403.67,0.0
gfx942,304,1152,5120,3072,ck,2,0,74.2998,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,487.74,418.09,0.0
gfx942,304,1152,5120,8704,ck,0,0,171.6629,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,598.13,386.73,0.0
gfx942,304,1216,5120,3072,ck,0,0,70.7206,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,540.89,451.3,0.0
gfx942,304,1216,5120,8704,ck,0,0,173.6113,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,624.27,389.38,0.0
gfx942,304,1280,5120,3072,ck,0,0,74.3002,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,541.93,441.02,0.0
gfx942,304,1280,5120,8704,ck,0,0,171.8147,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,664.0,400.51,0.0
gfx942,304,1344,5120,3072,ck,0,0,73.7584,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,573.2,455.81,0.0
gfx942,304,1344,5120,8704,ck,0,0,177.7443,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,673.94,393.97,0.0
gfx942,304,1408,5120,3072,ck,0,0,72.5024,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,610.9,475.46,0.0
gfx942,304,1408,5120,8704,ck,0,0,179.8445,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,697.79,396.11,0.0
gfx942,304,1472,5120,3072,ck,0,0,75.2908,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,615.02,469.17,0.0
gfx942,304,1472,5120,8704,ck,0,0,181.7227,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,721.97,398.68,0.0
gfx942,304,1536,5120,3072,ck,0,0,76.1076,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,634.87,475.33,0.0
gfx942,304,1536,5120,8704,ck,0,0,185.499,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,738.02,397.1,0.0
gfx942,304,1600,5120,3072,ck,0,0,78.6304,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,640.1,470.91,0.0
gfx942,304,1600,5120,8704,ck,0,0,193.1225,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,738.42,387.71,0.0
gfx942,304,1664,5120,3072,ck,0,0,77.3842,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,676.43,489.5,0.0
gfx942,304,1664,5120,8704,ck,0,0,196.6977,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,754.0,386.82,0.0
gfx942,304,1728,5120,3072,ck,0,0,79.0658,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,687.51,489.87,0.0
