gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,256,2048,ck,8,3,5.3821,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.19,97.89,0.0
gfx950,256,2,256,2048,ck,8,3,5.3824,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.39,98.36,0.0
gfx950,256,4,256,2048,ck,8,3,5.3455,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.78,100.0,0.0
gfx950,256,8,256,2048,ck,8,3,5.4095,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.55,100.71,0.0
gfx950,256,16,256,2048,ck,8,3,5.4627,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.07,103.47,0.0
gfx950,256,32,256,2048,ck,8,3,6.116,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.49,99.12,0.0
gfx950,256,48,256,2048,ck,8,3,6.2752,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.02,103.13,0.0
gfx950,256,64,256,2048,ck,8,2,5.9001,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.37,116.63,0.0
gfx950,256,80,256,2048,ck,6,3,6.174,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,13.59,118.09,0.0
gfx950,256,96,256,2048,ck,8,2,6.0132,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.74,128.06,0.0
gfx950,256,112,256,2048,ck,8,3,6.4352,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.25,126.03,0.0
gfx950,256,128,256,2048,ck,8,3,6.6216,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.27,128.66,0.0
gfx950,256,256,256,2048,ck,8,2,5.9766,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.91,197.38,0.0
gfx950,256,512,256,2048,ck,8,2,6.5051,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,82.53,282.09,0.0
gfx950,256,588,256,2048,ck,8,2,7.3827,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,83.51,274.91,0.0
gfx950,256,773,256,2048,ck,8,0,8.2754,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,97.95,302.48,0.0
gfx950,256,822,256,2048,ck,8,0,8.386,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,102.78,313.45,0.0
gfx950,256,1024,256,2048,ck,8,0,8.3191,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,129.07,378.13,0.0
gfx950,256,1025,256,2048,ck,8,2,9.6064,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,111.88,327.73,0.0
gfx950,256,1027,256,2048,ck,8,2,9.5908,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,112.28,328.8,0.0
gfx950,256,1042,256,2048,ck,7,0,9.5431,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,114.49,334.46,0.0
gfx950,256,1051,256,2048,ck,8,2,9.6922,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,113.71,331.69,0.0
gfx950,256,1055,256,2048,ck,8,2,9.4241,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,117.38,342.22,0.0
gfx950,256,1057,256,2048,ck,7,0,9.6419,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,114.95,335.02,0.0
gfx950,256,1069,256,2048,ck,8,2,9.0751,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,123.52,359.33,0.0
gfx950,256,1072,256,2048,ck,8,2,8.8589,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.89,368.96,0.0
gfx950,256,1074,256,2048,ck,8,2,9.6548,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,116.64,339.08,0.0
gfx950,256,1091,256,2048,ck,13,0,9.7891,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,116.86,338.87,0.0
gfx950,256,1128,256,2048,ck,8,2,9.7553,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,121.25,349.76,0.0
gfx950,256,1136,256,2048,ck,8,2,9.9427,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,119.8,345.22,0.0
gfx950,256,1514,256,2048,ck,7,0,10.1961,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,155.7,431.55,0.0
gfx950,256,2017,256,2048,ck,7,0,9.9017,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,213.6,574.43,0.0
gfx950,256,2048,256,2048,ck,7,0,9.9236,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,216.4,581.16,0.0
gfx950,256,2151,256,2048,ck,18,0,11.5669,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,194.99,521.39,0.0
gfx950,256,2332,256,2048,ck,18,0,10.9901,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,222.5,590.91,0.0
gfx950,256,2341,256,2048,ck,18,0,11.7789,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,208.4,553.3,0.0
gfx950,256,3072,256,2048,ck,18,0,10.4911,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,307.04,799.59,0.0
gfx950,256,3073,256,2048,ck,18,0,12.5746,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,256.25,667.31,0.0
gfx950,256,3089,256,2048,ck,18,0,12.4563,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,260.03,676.94,0.0
gfx950,256,3110,256,2048,ck,18,0,12.4643,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,261.63,680.82,0.0
gfx950,256,3137,256,2048,ck,18,0,12.2899,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,267.65,696.1,0.0
gfx950,256,3613,256,2048,ck,18,0,12.4583,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,304.09,784.5,0.0
gfx950,256,4096,256,2048,ck,18,0,10.7697,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,398.8,1022.32,0.0
gfx950,256,4097,256,2048,ck,2,0,15.3295,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,280.25,718.39,0.0
gfx950,256,4109,256,2048,ck,2,0,15.4991,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,277.99,712.51,0.0
gfx950,256,4143,256,2048,ck,2,0,15.4969,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,280.33,718.23,0.0
gfx950,256,4345,256,2048,ck,3,0,15.3931,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,295.98,756.67,0.0
gfx950,256,4413,256,2048,ck,2,0,15.2946,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,302.55,772.92,0.0
gfx950,256,5121,256,2048,ck,2,0,15.4833,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,346.81,880.56,0.0
gfx950,256,5123,256,2048,ck,2,0,15.9826,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,336.11,853.38,0.0
gfx950,256,5133,256,2048,ck,2,0,15.5043,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,347.15,881.35,0.0
gfx950,256,5185,256,2048,ck,2,0,15.4368,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,352.2,893.83,0.0
