M,N,K
1, 256, 7168
2, 256, 7168
4, 256, 7168
8, 256, 7168
16, 256, 7168
32, 256, 7168
64, 256, 7168
128, 256, 7168
256, 256, 7168
512, 256, 7168
1024, 256, 7168
2048, 256, 7168
4096, 256, 7168
8192, 256, 7168
16384, 256, 7168
32768, 256, 7168
1, 2112, 7168
2, 2112, 7168
4, 2112, 7168
8, 2112, 7168
16, 2112, 7168
32, 2112, 7168
64, 2112, 7168
128, 2112, 7168
256, 2112, 7168
512, 2112, 7168
1024, 2112, 7168
2048, 2112, 7168
4096, 2112, 7168
8192, 2112, 7168
16384, 2112, 7168
32768, 2112, 7168
1, 3072, 1536
2, 3072, 1536
4, 3072, 1536
8, 3072, 1536
16, 3072, 1536
32, 3072, 1536
64, 3072, 1536
128, 3072, 1536
256, 3072, 1536
512, 3072, 1536
1024, 3072, 1536
2048, 3072, 1536
4096, 3072, 1536
8192, 3072, 1536
16384, 3072, 1536
20480, 3072, 1536
32768, 3072, 1536
1, 4096, 512
2, 4096, 512
4, 4096, 512
8, 4096, 512
16, 4096, 512
32, 4096, 512
64, 4096, 512
128, 4096, 512
256, 4096, 512
512, 4096, 512
1024, 4096, 512
2048, 4096, 512
4096, 4096, 512
8192, 4096, 512
16384, 4096, 512
20480, 4096, 512
32768, 4096, 512
1, 7168, 2048
2, 7168, 2048
4, 7168, 2048
8, 7168, 2048
16, 7168, 2048
32, 7168, 2048
64, 7168, 2048
128, 7168, 2048
256, 7168, 2048
512, 7168, 2048
1024, 7168, 2048
2048, 7168, 2048
4096, 7168, 2048
8192, 7168, 2048
16384, 7168, 2048
20480, 7168, 2048
32768, 7168, 2048

1, 512, 7168
2, 512, 7168
4, 7168, 2048
8, 512, 7168
16, 512, 7168
32, 512, 7168
64, 512, 7168
128, 512, 7168
256, 512, 7168
512, 512, 7168
1024, 512, 7168
2048, 512, 7168
4096, 512, 7168
8192, 512, 7168
16384, 512, 7168
20480, 512, 7168
32768, 512, 7168
