M,N,K,q_dtype_w
1,3584,5120,torch.float8_e4m3fn
2,3584,5120,torch.float8_e4m3fn
4,3584,5120,torch.float8_e4m3fn
8,3584,5120,torch.float8_e4m3fn
16,3584,5120,torch.float8_e4m3fn
32,3584,5120,torch.float8_e4m3fn
64,3584,5120,torch.float8_e4m3fn
128,3584,5120,torch.float8_e4m3fn
256,3584,5120,torch.float8_e4m3fn
512,3584,5120,torch.float8_e4m3fn
1024,3584,5120,torch.float8_e4m3fn
2048,3584,5120,torch.float8_e4m3fn
4096,3584,5120,torch.float8_e4m3fn
8192,3584,5120,torch.float8_e4m3fn
16384,3584,5120,torch.float8_e4m3fn
32768,3584,5120,torch.float8_e4m3fn
1,5120,3072,torch.float8_e4m3fn
2,5120,3072,torch.float8_e4m3fn
4,5120,3072,torch.float8_e4m3fn
8,5120,3072,torch.float8_e4m3fn
16,5120,3072,torch.float8_e4m3fn
32,5120,3072,torch.float8_e4m3fn
64,5120,3072,torch.float8_e4m3fn
128,5120,3072,torch.float8_e4m3fn
256,5120,3072,torch.float8_e4m3fn
512,5120,3072,torch.float8_e4m3fn
1024,5120,3072,torch.float8_e4m3fn
2048,5120,3072,torch.float8_e4m3fn
4096,5120,3072,torch.float8_e4m3fn
8192,5120,3072,torch.float8_e4m3fn
16384,5120,3072,torch.float8_e4m3fn
32768,5120,3072,torch.float8_e4m3fn
1,6144,5120,torch.float8_e4m3fn
2,6144,5120,torch.float8_e4m3fn
4,6144,5120,torch.float8_e4m3fn
8,6144,5120,torch.float8_e4m3fn
16,6144,5120,torch.float8_e4m3fn
32,6144,5120,torch.float8_e4m3fn
64,6144,5120,torch.float8_e4m3fn
128,6144,5120,torch.float8_e4m3fn
256,6144,5120,torch.float8_e4m3fn
512,6144,5120,torch.float8_e4m3fn
1024,6144,5120,torch.float8_e4m3fn
2048,6144,5120,torch.float8_e4m3fn
4096,6144,5120,torch.float8_e4m3fn
8192,6144,5120,torch.float8_e4m3fn
16384,6144,5120,torch.float8_e4m3fn
32768,6144,5120,torch.float8_e4m3fn
1,1792,5120,torch.float8_e4m3fn
2,1792,5120,torch.float8_e4m3fn
4,1792,5120,torch.float8_e4m3fn
8,1792,5120,torch.float8_e4m3fn
16,1792,5120,torch.float8_e4m3fn
32,1792,5120,torch.float8_e4m3fn
64,1792,5120,torch.float8_e4m3fn
128,1792,5120,torch.float8_e4m3fn
256,1792,5120,torch.float8_e4m3fn
512,1792,5120,torch.float8_e4m3fn
1024,1792,5120,torch.float8_e4m3fn
2048,1792,5120,torch.float8_e4m3fn
4096,1792,5120,torch.float8_e4m3fn
8192,1792,5120,torch.float8_e4m3fn
16384,1792,5120,torch.float8_e4m3fn
32768,1792,5120,torch.float8_e4m3fn
1,5120,1536,torch.float8_e4m3fn
2,5120,1536,torch.float8_e4m3fn
4,5120,1536,torch.float8_e4m3fn
8,5120,1536,torch.float8_e4m3fn
16,5120,1536,torch.float8_e4m3fn
32,5120,1536,torch.float8_e4m3fn
64,5120,1536,torch.float8_e4m3fn
128,5120,1536,torch.float8_e4m3fn
256,5120,1536,torch.float8_e4m3fn
512,5120,1536,torch.float8_e4m3fn
1024,5120,1536,torch.float8_e4m3fn
2048,5120,1536,torch.float8_e4m3fn
4096,5120,1536,torch.float8_e4m3fn
8192,5120,1536,torch.float8_e4m3fn
16384,5120,1536,torch.float8_e4m3fn
32768,5120,1536,torch.float8_e4m3fn
1,3072,5120,torch.float8_e4m3fn
2,3072,5120,torch.float8_e4m3fn
4,3072,5120,torch.float8_e4m3fn
8,3072,5120,torch.float8_e4m3fn
16,3072,5120,torch.float8_e4m3fn
32,3072,5120,torch.float8_e4m3fn
64,3072,5120,torch.float8_e4m3fn
128,3072,5120,torch.float8_e4m3fn
256,3072,5120,torch.float8_e4m3fn
512,3072,5120,torch.float8_e4m3fn
1024,3072,5120,torch.float8_e4m3fn
2048,3072,5120,torch.float8_e4m3fn
4096,3072,5120,torch.float8_e4m3fn
8192,3072,5120,torch.float8_e4m3fn
16384,3072,5120,torch.float8_e4m3fn
32768,3072,5120,torch.float8_e4m3fn
