M,N,K,q_dtype_w
1,2304,6144,torch.float8_e4m3fn
2,2304,6144,torch.float8_e4m3fn
4,2304,6144,torch.float8_e4m3fn
8,2304,6144,torch.float8_e4m3fn
16,2304,6144,torch.float8_e4m3fn
32,2304,6144,torch.float8_e4m3fn
64,2304,6144,torch.float8_e4m3fn
128,2304,6144,torch.float8_e4m3fn
256,2304,6144,torch.float8_e4m3fn
512,2304,6144,torch.float8_e4m3fn
1024,2304,6144,torch.float8_e4m3fn
2048,2304,6144,torch.float8_e4m3fn
4096,2304,6144,torch.float8_e4m3fn
8192,2304,6144,torch.float8_e4m3fn
16384,2304,6144,torch.float8_e4m3fn
32768,2304,6144,torch.float8_e4m3fn
1,2560,6144,torch.float8_e4m3fn
2,2560,6144,torch.float8_e4m3fn
4,2560,6144,torch.float8_e4m3fn
8,2560,6144,torch.float8_e4m3fn
16,2560,6144,torch.float8_e4m3fn
32,2560,6144,torch.float8_e4m3fn
64,2560,6144,torch.float8_e4m3fn
128,2560,6144,torch.float8_e4m3fn
256,2560,6144,torch.float8_e4m3fn
512,2560,6144,torch.float8_e4m3fn
1024,2560,6144,torch.float8_e4m3fn
2048,2560,6144,torch.float8_e4m3fn
4096,2560,6144,torch.float8_e4m3fn
8192,2560,6144,torch.float8_e4m3fn
16384,2560,6144,torch.float8_e4m3fn
32768,2560,6144,torch.float8_e4m3fn
1,6144,2048,torch.float8_e4m3fn
2,6144,2048,torch.float8_e4m3fn
4,6144,2048,torch.float8_e4m3fn
8,6144,2048,torch.float8_e4m3fn
16,6144,2048,torch.float8_e4m3fn
32,6144,2048,torch.float8_e4m3fn
64,6144,2048,torch.float8_e4m3fn
128,6144,2048,torch.float8_e4m3fn
256,6144,2048,torch.float8_e4m3fn
512,6144,2048,torch.float8_e4m3fn
1024,6144,2048,torch.float8_e4m3fn
2048,6144,2048,torch.float8_e4m3fn
4096,6144,2048,torch.float8_e4m3fn
8192,6144,2048,torch.float8_e4m3fn
16384,6144,2048,torch.float8_e4m3fn
32768,6144,2048,torch.float8_e4m3fn
1,6144,3072,torch.float8_e4m3fn
2,6144,3072,torch.float8_e4m3fn
4,6144,3072,torch.float8_e4m3fn
8,6144,3072,torch.float8_e4m3fn
16,6144,3072,torch.float8_e4m3fn
32,6144,3072,torch.float8_e4m3fn
64,6144,3072,torch.float8_e4m3fn
128,6144,3072,torch.float8_e4m3fn
256,6144,3072,torch.float8_e4m3fn
512,6144,3072,torch.float8_e4m3fn
1024,6144,3072,torch.float8_e4m3fn
2048,6144,3072,torch.float8_e4m3fn
4096,6144,3072,torch.float8_e4m3fn
8192,6144,3072,torch.float8_e4m3fn
16384,6144,3072,torch.float8_e4m3fn
32768,6144,3072,torch.float8_e4m3fn
1,6144,6144,torch.float8_e4m3fn
2,6144,6144,torch.float8_e4m3fn
4,6144,6144,torch.float8_e4m3fn
8,6144,6144,torch.float8_e4m3fn
16,6144,6144,torch.float8_e4m3fn
32,6144,6144,torch.float8_e4m3fn
64,6144,6144,torch.float8_e4m3fn
128,6144,6144,torch.float8_e4m3fn
256,6144,6144,torch.float8_e4m3fn
512,6144,6144,torch.float8_e4m3fn
1024,6144,6144,torch.float8_e4m3fn
2048,6144,6144,torch.float8_e4m3fn
4096,6144,6144,torch.float8_e4m3fn
8192,6144,6144,torch.float8_e4m3fn
16384,6144,6144,torch.float8_e4m3fn
32768,6144,6144,torch.float8_e4m3fn
