M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
128,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,38720,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
