M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
1,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
2,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
4,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
8,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
16,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
32,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
48,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
48,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
48,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
48,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
48,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
48,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
64,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
80,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
80,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
80,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
80,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
80,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
80,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
96,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
96,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
96,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
96,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
96,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
96,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
112,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
112,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
112,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
112,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
112,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
112,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
112,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
128,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
128,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
128,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
128,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
128,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
128,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
256,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
256,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
256,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
256,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
256,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
