M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
16384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
16384,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
16384,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False
4096,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False
16384,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,4096,512,False,torch.bfloat16,torch.bfloat16,False,False
4096,4096,512,False,torch.bfloat16,torch.bfloat16,False,False
16384,4096,512,False,torch.bfloat16,torch.bfloat16,False,False
96,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
16384,7168,512,False,torch.bfloat16,torch.bfloat16,False,False
8192,8192,8192,False,torch.bfloat16,torch.bfloat16,False,False
