M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
88,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
104,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
112,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
120,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
136,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
144,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
168,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
176,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
184,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
200,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
208,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
216,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
224,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
232,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
240,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
248,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
264,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
272,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
280,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
288,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
296,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
304,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
312,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
320,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
328,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
