cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,13.6077,flydsl_moe1_abf16_wint4_bf16_t16x16x256_kw4,0.2%,12.3464,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.6%,25.9541,0,3.39,40725.48,
256,2,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,16.9979,flydsl_moe1_abf16_wint4_bf16_t16x16x256_bnt0_kw4,0.0%,12.0171,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.3%,29.015,0,6.07,36430.19,
256,4,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,22.8283,flydsl_moe1_abf16_wint4_bf16_t16x16x128_kw4,0.0%,15.8072,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.0%,38.6355,0,9.12,27360.31,
256,8,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,34.2544,flydsl_moe1_abf16_wint4_bf16_t16x16x128_bnt0_kw4,0.0%,21.6739,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.0%,55.9283,0,12.6,18902.67,
256,16,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,57.7101,flydsl_moe1_abf16_wint4_bf16_t16x32x128_kw4,0.0%,29.6782,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.0%,87.3883,0,16.13,12100.29,
256,32,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,87.1779,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,46.0737,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.1%,133.2516,0,21.15,7938.98,
256,64,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,125.0138,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,68.9715,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.1%,193.9853,0,29.06,5458.14,
256,128,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,153.8197,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,86.4605,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.2%,240.2802,0,46.92,4414.16,
256,256,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,161.143,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,93.3405,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.1%,254.4835,0,88.61,4182.21,
256,512,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,178.7351,flydsl_moe1_abf16_wint4_bf16_t16x64x128_bnt0,0.0%,102.765,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.1%,281.5001,0,160.2,3806.91,
256,1024,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,226.7588,flydsl_moe1_abf16_wint4_bf16_t32x64x256,0.0%,137.2025,flydsl_moe2_abf16_wint4_bf16_t32x128x128_atomic,2.1%,363.9613,0,247.81,2984.73,
256,2048,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,307.8312,flydsl_moe1_abf16_wint4_bf16_t64x128x128,0.0%,231.3377,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,2.1%,539.1689,0,334.57,2069.27,
256,4096,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,543.7061,flydsl_moe1_abf16_wint4_bf16_t32x128x128_bnt0,0.0%,385.96,flydsl_moe2_abf16_wint4_bf16_t32x128x128_atomic,2.1%,929.6661,0,388.07,1263.25,
256,8192,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,788.9791,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,786.1986,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,2.1%,1575.1777,0,458.08,820.13,
256,16384,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,1415.2835,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,1553.1949,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,2.1%,2968.4784,0,486.14,514.31,
256,32768,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,2651.3104,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,3153.5217,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,2.1%,5804.8321,0,497.21,343.94,
