gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5887,4,16.3134,flydsl_gemm4_abf16_wbf16_bf16_t16x64x256_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0247,4.63,4630.23
gfx950,256,16,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5887,4,17.5138,flydsl_gemm4_abf16_wbf16_bf16_t16x64x256_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0227,68.97,4344.89
gfx950,256,32,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,7,21.9085,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0224,110.27,3500.63
gfx950,256,64,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,7,23.9613,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0226,201.65,3250.64
gfx950,256,128,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,35.5248,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.013,272.03,2259.87
gfx950,256,256,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,41.8777,native,0.0,461.52,2031.29
gfx950,256,512,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,98.3036,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,393.22,962.67
gfx950,256,1024,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,91.2487,native,0.0,847.24,1246.82
gfx950,256,2048,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,179.1167,native,0.0,863.23,848.85
gfx950,256,4096,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,327.4554,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,944.37,698.08
gfx950,256,8192,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,677.7405,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,912.55,563.17
gfx950,256,16384,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1109.5955,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1114.78,619.92
gfx950,256,32768,2304,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1981.8193,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1248.3,656.08
gfx950,256,1,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,33.0274,native,0.0,4.57,4573.08
gfx950,256,16,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,32.6252,native,0.0,74.05,4648.76
gfx950,256,32,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,33.3117,native,0.0,145.05,4573.12
gfx950,256,64,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,42.02,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0131,229.98,3657.35
