M,N,K
1,1280,8192
16,1280,8192
32,1280,8192
64,1280,8192
128,1280,8192
160,1280,8192
192,1280,8192
256,1280,8192
288,1280,8192 
384,1280,8192 
512,1280,8192 
640,1280,8192 
768,1280,8192 
1024,1280,8192
1152,1280,8192
1280,1280,8192
1536,1280,8192
1600,1280,8192
2048,1280,8192
2880,1280,8192
3200,1280,8192
4096,1280,8192
8192,1280,8192
16384,1280,8192
32768,1280,8192

1,2560,8192
16,2560,8192
32,2560,8192
64,2560,8192
128,2560,8192
160,2560,8192
192,2560,8192
256,2560,8192
288,2560,8192 
384,2560,8192 
512,2560,8192 
640,2560,8192  
768,2560,8192 
1024,2560,8192
1152,2560,8192
1280,2560,8192
1536,2560,8192
1600,2560,8192
2048,2560,8192
2880,2560,8192
3200,2560,8192
4096,2560,8192
8192,2560,8192
16384,2560,8192
32768,2560,8192

1,10240,8192
16,10240,8192
32,10240,8192
64,10240,8192
128,10240,8192
160,10240,8192
192,10240,8192
256,10240,8192
288,10240,8192 
384,10240,8192 
512,10240,8192 
640,10240,8192  
768,10240,8192  
1024,10240,8192
1152,10240,8192
1280,10240,8192
1536,10240,8192
1600,10240,8192
2048,10240,8192
2880,10240,8192
3200,10240,8192
4096,10240,8192
8192,10240,8192
16384,10240,8192
32768,10240,8192

1,8192,1024
16,8192,1024
32,8192,1024
64,8192,1024
128,8192,1024
160,8192,1024
192,8192,1024
256,8192,1024
288,8192,1024 
384,8192,1024 
512,8192,1024 
640,8192,1024  
768,8192,1024  
1024,8192,1024
1152,8192,1024
1280,8192,1024
1536,8192,1024
1600,8192,1024
2048,8192,1024
2880,8192,1024
3200,8192,1024
4096,8192,1024
8192,8192,1024
16384,8192,1024
32768,8192,1024

1,8192,2048
16,8192,2048
32,8192,2048
64,8192,2048
128,8192,2048
160,8192,2048
192,8192,2048
256,8192,2048
288,8192,2048 
384,8192,2048  
512,8192,2048 
640,8192,2048  
768,8192,2048  
1024,8192,2048
1152,8192,2048
1280,8192,2048
1536,8192,2048
1600,8192,2048
2048,8192,2048
2880,8192,2048
3200,8192,2048
4096,8192,2048
8192,8192,2048
16384,8192,2048
32768,8192,2048

1,8192,8192
16,8192,8192
32,8192,8192
64,8192,8192
128,8192,8192
160,8192,8192
192,8192,8192
256,8192,8192
288,8192,8192 
384,8192,8192 
512,8192,8192 
640,8192,8192  
768,8192,8192  
1024,8192,8192
1152,8192,8192
1536,8192,8192
1600,8192,8192
2048,8192,8192
2880,8192,8192
3200,8192,8192
4096,8192,8192
8192,8192,8192
16384,8192,8192
32768,8192,8192

1,7168,8192
16,7168,8192
32,7168,8192
64,7168,8192
128,7168,8192
192,7168,8192
256,7168,8192
288,7168,8192 
384,7168,8192 
512,7168,8192 
640,7168,8192  
768,7168,8192 
1024,7168,8192
1152,7168,8192
1536,7168,8192
1600,7168,8192
2048,7168,8192
2880,7168,8192
3200,7168,8192
4096,7168,8192
8192,7168,8192
16384,7168,8192
32768,7168,8192

1,14336,8192
16,14336,8192
32,14336,8192
64,14336,8192
128,14336,8192
160,14336,8192
192,14336,8192
256,14336,8192
288,14336,8192 
384,14336,8192 
512,14336,8192 
640,14336,8192  
768,14336,8192 
1024,14336,8192
1152,14336,8192
1536,14336,8192
1600,14336,8192
2048,14336,8192
2880,14336,8192
3200,14336,8192
4096,14336,8192
8192,14336,8192
16384,14336,8192
32768,14336,8192

1,57344,8192
16,57344,8192
32,57344,8192
64,57344,8192
128,57344,8192
160,57344,8192
192,57344,8192
256,57344,8192
288,57344,8192 
384,57344,8192 
512,57344,8192 
640,57344,8192  
768,57344,8192 
1024,57344,8192
1152,57344,8192
1536,57344,8192
1600,57344,8192
2048,57344,8192
2880,57344,8192
3200,57344,8192
4096,57344,8192
8192,57344,8192
16384,57344,8192
32768,57344,8192

1,8192,3584
16,8192,3584
32,8192,3584
64,8192,3584
128,8192,3584
160,8192,3584
192,8192,3584
256,8192,3584
288,8192,3584
384,8192,3584
512,8192,3584 
640,8192,3584  
768,8192,3584
1024,8192,3584
1152,8192,3584
1280,8192,3584
1536,8192,3584
1600,8192,3584
2048,8192,3584
2880,8192,3584
3200,8192,3584
4096,8192,3584
8192,8192,3584
16384,8192,3584
32768,8192,3584

1,8192,7168
16,8192,7168
32,8192,7168
64,8192,7168
128,8192,7168
160,8192,7168
192,8192,7168
256,8192,7168
288,8192,7168
384,8192,7168
512,8192,7168 
640,8192,7168  
768,8192,7168
1024,8192,7168
1152,8192,7168
1280,8192,7168
1536,8192,7168
1600,8192,7168
2048,8192,7168
2880,8192,7168
3200,8192,7168
4096,8192,7168
8192,8192,7168
16384,8192,7168
32768,8192,7168

1,8192,28672
16,8192,28672
32,8192,28672
64,8192,28672
128,8192,28672
160,8192,28672
192,8192,28672
256,8192,28672
288,8192,28672 
384,8192,28672 
512,8192,28672 
640,8192,28672  
768,8192,28672 
1024,8192,28672
1152,8192,28672
1280,8192,28672
1536,8192,28672
1600,8192,28672
2048,8192,28672
2880,8192,28672
3200,8192,28672
4096,8192,28672
8192,8192,28672
16384,8192,28672
32768,8192,28672
