gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2600,6,7.632,flydsl_gemm3_abf16_wbf16_bf16_t16x64x128_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0135,3.71,3711.8
gfx950,256,1,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7470,6,8.153,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0148,3.86,3860.5
gfx950,256,1,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4016,2,6.9232,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0076,3.63,3637.37
gfx950,256,1,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6707,2,11.2657,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.005,5.03,5028.06
gfx950,256,1,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2528,4,27.7247,flydsl_gemm3_abf16_wbf16_bf16_t16x128x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0146,5.45,5447.55
gfx950,256,1,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7279,2,38.7122,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0161,5.85,5851.94
gfx950,256,1,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,35,6,21.2801,flydsl_gemm2_abf16_wbf16_bf16_t16x128x128_split_k6_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0179,5.32,5323.14
gfx950,256,1,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,102.3889,auto,0.0,6.0,6003.67
gfx950,256,2,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2600,6,7.7182,flydsl_gemm3_abf16_wbf16_bf16_t16x64x128_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0135,7.34,3672.53
gfx950,256,2,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7038,6,8.3745,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0133,7.51,3760.47
gfx950,256,2,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3653,2,7.0945,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0027,7.09,3551.85
gfx950,256,2,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7384,4,11.8387,flydsl_gemm7_abf16_wbf16_bf16_t16x128x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0116,9.57,4786.51
gfx950,256,2,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4222,4,27.8445,flydsl_gemm4_abf16_wbf16_bf16_t16x128x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0144,10.85,5425.44
gfx950,256,2,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4895,2,38.8141,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0155,11.67,5837.85
gfx950,256,2,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,35,6,21.5288,flydsl_gemm2_abf16_wbf16_bf16_t16x128x128_split_k6_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0178,10.52,5263.07
gfx950,256,2,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,103.0938,auto,0.0,11.92,5963.71
gfx950,256,4,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2600,6,8.0303,flydsl_gemm3_abf16_wbf16_bf16_t16x64x128_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0157,14.1,3534.01
gfx950,256,4,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6401,6,8.3749,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0154,15.02,3764.45
gfx950,256,4,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2449,2,7.263,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0029,13.86,3473.96
gfx950,256,4,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7915,2,11.6443,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0121,19.45,4870.12
