M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
1,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
2,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
4,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
8,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
16,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
32,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
64,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
128,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
196,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
196,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
196,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
196,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
196,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
196,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
196,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
196,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
196,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
196,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
196,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
256,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
320,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
320,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
320,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
320,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
320,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
320,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
320,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
320,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
320,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
320,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
320,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
512,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
1024,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
2048,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
2048,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
2048,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
2048,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
2048,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
4096,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
4096,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
4096,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
4096,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
4096,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
4096,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
4096,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
4096,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
4096,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
4096,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
4096,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
8192,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8192,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
8192,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
8192,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8192,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
16384,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
16384,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
16384,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,2304,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,2560,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,4608,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,18432,False,torch.bfloat16,torch.bfloat16,False,False
32768,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,50016,6144,False,torch.bfloat16,torch.bfloat16,False,False
