M,N,K
1,5120,1280
16,5120,1280
32,5120,1280
64,5120,1280
128,5120,1280
160,5120,1280
192,5120,1280
256,5120,1280
288,5120,1280 
384,5120,1280 
512,5120,1280 
640,5120,1280  
768,5120,1280 
1024,5120,1280
1152,5120,1280
1536,5120,1280
1600,5120,1280
2048,5120,1280
2880,5120,1280
3200,5120,1280
4096,5120,1280
8192,5120,1280
16384,5120,1280
32768,5120,1280

1,5120,5120
16,5120,5120
32,5120,5120
64,5120,5120
128,5120,5120
160,5120,5120
192,5120,5120
256,5120,5120
288,5120,5120 
384,5120,5120 
512,5120,5120 
640,5120,5120  
768,5120,5120 
1024,5120,5120
1152,5120,5120
1536,5120,5120
1600,5120,5120
2048,5120,5120
2880,5120,5120
3200,5120,5120
4096,5120,5120
8192,5120,5120
16384,5120,5120
32768,5120,5120

1,6400,5120
16,6400,5120
32,6400,5120
64,6400,5120
128,6400,5120
160,6400,5120
192,6400,5120
256,6400,5120
288,6400,5120 
384,6400,5120 
512,6400,5120 
640,6400,5120  
768,6400,5120 
1024,6400,5120
1152,6400,5120
1536,6400,5120
1600,6400,5120
2048,6400,5120
2880,6400,5120
3200,6400,5120
4096,6400,5120
8192,6400,5120
16384,6400,5120
32768,6400,5120

1,12800,5120
16,12800,5120
32,12800,5120
64,12800,5120
128,12800,5120
160,12800,5120
192,12800,5120
256,12800,5120
288,12800,5120 
384,12800,5120 
512,12800,5120 
640,12800,5120  
768,12800,5120 
1024,12800,5120
1152,12800,5120
1536,12800,5120
1600,12800,5120
2048,12800,5120
2880,12800,5120
3200,12800,5120
4096,12800,5120
8192,12800,5120
16384,12800,5120
32768,12800,5120

1,51200,5120
16,51200,5120
32,51200,5120
64,51200,5120
128,51200,5120
160,51200,5120
192,51200,5120
256,51200,5120
288,51200,5120 
384,51200,5120 
512,51200,5120 
640,51200,5120  
768,51200,5120 
1024,51200,5120
1152,51200,5120
1536,51200,5120
1600,51200,5120
2048,51200,5120
2880,51200,5120
3200,51200,5120
4096,51200,5120
8192,51200,5120
16384,51200,5120
32768,51200,5120

1,5120,6400
16,5120,6400
32,5120,6400
64,5120,6400
128,5120,6400
160,5120,6400
192,5120,6400
256,5120,6400
288,5120,6400 
384,5120,6400 
512,5120,6400 
640,5120,6400  
768,5120,6400 
1024,5120,6400
1152,5120,6400
1536,5120,6400
1600,5120,6400
2048,5120,6400
2880,5120,6400
3200,5120,6400
4096,5120,6400
8192,5120,6400
16384,5120,6400
32768,5120,6400

1,5120,25600
16,5120,25600
32,5120,25600
64,5120,25600
128,5120,25600
160,5120,25600
192,5120,25600
256,5120,25600
288,5120,25600 
384,5120,25600 
512,5120,25600 
640,5120,25600  
768,5120,25600 
1024,5120,25600
1152,5120,25600
1536,5120,25600
1600,5120,25600
2048,5120,25600
2880,5120,25600
3200,5120,25600
4096,5120,25600
8192,5120,25600
16384,5120,25600
32768,5120,25600
