gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,24576,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,34.1279,auto,0.0,5.9,5900.86
gfx950,256,2,24576,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,33.5058,auto,0.0,12.02,6012.13
gfx950,256,4,24576,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,32.9163,auto,0.0,24.47,6123.29
gfx950,256,8,24576,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,32.1489,auto,0.0,50.1,6276.59
gfx950,256,16,24576,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,35.4337,auto,0.0,90.91,5707.68
gfx950,256,1,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,182.8682,auto,0.0,6.81,6808.03
gfx950,256,2,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,182.3328,auto,0.0,13.65,6829.73
gfx950,256,4,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,183.6787,auto,0.0,27.11,6783.08
gfx950,256,8,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,183.7932,auto,0.0,54.18,6785.65
gfx950,256,16,151936,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,195.536,native,0.0,101.85,6390.91
