arch,dtype,K,V,BT,H,Hg,T_flat,N,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,2500,1,True,False,True,False,True,False,True,16,69.30624008178711
gfx950,torch.bfloat16,128,128,64,32,16,60000,1,True,False,True,False,True,False,True,16,2025.3149414062502
gfx950,torch.bfloat16,128,128,64,32,16,128000,1,True,False,True,False,True,False,True,16,4304.8419189453125
gfx950,torch.bfloat16,128,128,64,16,8,2500,1,True,False,True,False,True,False,True,16,64.4901990890503
gfx950,torch.bfloat16,128,128,64,16,8,60000,1,True,False,True,False,True,False,True,16,1816.2953186035156
gfx950,torch.bfloat16,128,128,64,16,8,128000,1,True,False,True,False,True,False,True,16,3841.7626953125
gfx950,torch.bfloat16,128,128,64,64,16,2500,1,True,False,True,False,True,False,True,32,90.64884185791016
gfx950,torch.bfloat16,128,128,64,64,16,60000,1,True,False,True,False,True,False,True,32,2623.1301879882812
gfx950,torch.bfloat16,128,128,64,64,16,128000,1,True,False,True,False,True,False,True,32,5630.126953125
gfx950,torch.bfloat16,128,128,64,32,8,2500,1,True,False,True,False,True,False,True,16,70.45663833618164
gfx950,torch.bfloat16,128,128,64,32,8,60000,1,True,False,True,False,True,False,True,16,2019.5198059082031
gfx950,torch.bfloat16,128,128,64,32,8,128000,1,True,False,True,False,True,False,True,16,4250.8258056640625
gfx950,torch.bfloat16,128,128,64,16,4,32768,32,True,False,True,True,True,True,True,64,221.0420799255371
gfx950,torch.bfloat16,128,128,64,16,4,32768,16,True,False,True,True,True,True,True,64,185.12176513671875
gfx950,torch.bfloat16,128,128,64,16,4,32768,8,True,False,True,True,True,True,True,64,234.29664611816406
gfx950,torch.bfloat16,128,128,64,16,4,32768,4,True,False,True,True,True,True,True,32,366.52027130126953
gfx950,torch.bfloat16,128,128,64,8,2,32768,32,True,False,True,True,True,True,True,64,106.88899993896484
gfx950,torch.bfloat16,128,128,64,8,2,32768,16,True,False,True,True,True,True,True,64,124.24595832824707
gfx950,torch.bfloat16,128,128,64,8,2,32768,8,True,False,True,True,True,True,True,32,192.92823791503906
gfx950,torch.bfloat16,128,128,64,8,2,32768,4,True,False,True,True,True,True,True,16,276.4186477661133
gfx950,torch.bfloat16,128,128,64,32,32,2500,1,True,False,True,False,True,False,True,16,70.61972141265869
gfx950,torch.bfloat16,128,128,64,32,32,60000,1,True,False,True,False,True,False,True,16,2053.585662841797
gfx950,torch.bfloat16,128,128,64,16,16,2500,1,True,False,True,False,True,False,True,16,66.7445182800293
gfx950,torch.bfloat16,128,128,64,16,16,60000,1,True,False,True,False,True,False,True,16,1851.8910217285156
gfx950,torch.bfloat16,128,128,64,64,64,2500,1,True,False,True,False,True,False,True,32,87.98148155212402
gfx950,torch.bfloat16,128,128,64,64,64,60000,1,True,False,True,False,True,False,True,32,2549.2437744140625
