tag	g1cfg	g2cfg	status	gemm1_us	gemm2_us	e2e_us	rel_l2	lds1	lds2
base	16x256x256_b2	16x512x128_b2	OK	356.6	235.1	740.26	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	218.5	155.5	554.27	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	359.0	234.6	756.96	2.8725e-03	78848	74752
g1_nb3	16x256x256_b3	16x512x128_b2	OK	375.8	235.0	760.01	2.8725e-03	118272	74752
g1_nb4	16x256x256_b4	16x512x128_b2	OK	369.6	235.3	771.44	2.8725e-03	157696	74752
g1_n128_nb3	16x128x256_b3	16x512x128_b2	OK	405.5	235.7	795.66	1.4492e-02	66048	74752
g1_n128_nb4	16x128x256_b4	16x512x128_b2	OK	413.4	234.7	802.48	8.4115e-03	88064	74752
g1_k512_nb2	16x256x512_b2	16x512x128_b2	OK	382.8	234.8	769.26	2.8725e-03	156672	74752
g1_n128_k512_b3	16x128x512_b3	16x512x128_b2	OK	427.5	235.4	817.31	6.0385e-03	130560	74752
g1_n128_k512_b4	16x128x512_b4	16x512x128_b2	OK	595.2	239.3	998.77	2.8714e-03	174080	74752
g2_nb3	16x256x256_b2	16x512x128_b3	OK	356.6	281.8	788.53	2.8725e-03	78848	112128
g2_nb4	16x256x256_b2	16x512x128_b4	OK	356.8	284.8	804.11	2.8725e-03	78848	149504
g2_n256_nb4	16x256x256_b2	16x256x128_b4	OK	358.4	258.2	779.96	3.2389e-03	78848	79872
g2_n256_k256_b3	16x256x256_b2	16x256x256_b3	FAIL(rc=1)/err	359.0	368.9	884.58	-	78848	118272
both_nb3	16x256x256_b3	16x512x128_b3	OK	378.0	284.5	825.65	2.8725e-03	118272	112128
g1_m64_nb2	64x256x256_b2	16x512x128_b2	OK	202.0	266.4	636.87	2.8725e-03	105472	74752
g1_m64_nb3	64x256x256_b3	16x512x128_b2	OK	211.8	267.7	643.27	2.8725e-03	158208	74752
g1_m64_n128_nb3	64x128x256_b3	16x512x128_b2	OK	247.7	266.7	675.63	2.8714e-03	105984	74752
g1_m64_n128_nb4	64x128x256_b4	16x512x128_b2	OK	240.5	256.5	664.33	2.8714e-03	141312	74752
g1_m32_nb3	32x256x256_b3	16x512x128_b2	OK	287.4	247.4	698.97	5.9685e-03	132096	74752
g1_m128_nb2	128x256x256_b2	16x512x128_b2	OK	245.7	432.2	862.52	2.8725e-03	141312	74752
best_m64_g2nb3	64x256x256_b3	16x512x128_b3	OK	212.8	304.6	688.50	2.8725e-03	158208	112128
best_m64b2_g2nb3	64x256x256_b2	16x512x128_b3	OK	200.3	310.5	675.70	2.8725e-03	105472	112128
g1_m64_k512_nb2	64x256x512_b2	16x512x128_b3	OK	232.0	300.3	697.63	2.8725e-03	208896	112128
g1_m64_nb4	64x256x256_b4	16x512x128_b3	OK	228.5	299.3	697.88	2.8725e-03	210944	112128
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	219.0	155.0	554.76	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	355.2	235.3	752.34	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	219.0	156.6	550.61	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	357.1	236.0	758.36	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	220.7	154.4	550.27	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	356.3	234.9	738.72	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	219.7	156.0	547.57	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	359.1	235.9	757.32	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	221.2	152.5	553.98	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	FAIL(rc=1)/err	903.8	625.1	-	-	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	FAIL(rc=1)/err	235.6	198.5	-	-	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	915.4	631.9	2116.35	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	239.6	190.6	1026.27	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	241.7	190.9	1029.54	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	241.8	189.3	1028.49	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	238.6	189.6	1023.32	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	916.8	634.2	2123.90	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	205.4	189.8	1002.07	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	205.4	190.3	996.55	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	207.5	190.5	998.72	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	FAIL(rc=1)/err	208.9	207.1	1020.54	-	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	204.3	190.4	993.68	2.8725e-03	158208	133632
g2_m64_nb3	64x256x256_b3	64x512x128_b3	FAIL(rc=1)/err	208.7	209.2	1024.84	-	158208	133632
